LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
CO,COLORADO,0800020,State Charter School Institute,6310,COLORADO SPRINGS EARLY COLLEGES,080002006310,No,1551556.0,20.74,856391.0,138911.41,1.25,19200.0,9.09,552804.0,4.79,123161.0,856391.0,1.25,19200.0,9.14,552804.0,4.79,357500.0,1551556.0,138911.41
CO,COLORADO,0800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,080002006320,No,813147.0,10.0,385484.0,927530.0,0.0,-9.0,5.55,198870.0,3.48,228793.0,385484.0,0.0,0.0,3.29,198870.0,2.6,228793.0,813147.0,963464.0
CO,COLORADO,0800020,State Charter School Institute,6338,PIKES PEAK PREP,080002006338,No,909560.0,14.84,707100.0,1112036.0,1.98,57460.0,0.97,65000.0,0.86,80000.0,738100.0,1.98,57460.0,2.26,123000.0,1.57,115000.0,1033560.0,1145310.0
CO,COLORADO,0800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,080002006390,No,1112369.0,23.0,644980.0,1495779.0,1.0,20341.0,5.0,178819.0,6.0,268229.0,1033224.0,1.0,20341.0,5.0,178819.0,6.0,268229.0,1500613.0,1495779.0
CO,COLORADO,0800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,080002006418,No,1104458.0,17.0,831920.0,1104458.0,2.04,51348.0,1.28,67753.0,2.12,153437.0,831920.0,2.04,51348.0,1.28,67753.0,2.12,153437.0,1104458.0,1104458.0
CO,COLORADO,0800020,State Charter School Institute,6437,THOMAS MACLAREN STATE CHARTER SCHOOL,080002006437,No,2046206.0,38.13,1423059.0,644436.0,3.2,69417.0,0.75,43112.0,16.0,510618.0,1455042.0,3.2,69417.0,0.75,43112.0,16.0,510618.0,2078189.0,644436.0
CO,COLORADO,0800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,080002006480,No,1182848.62,7.5,517919.0,1432448.37,0.0,-9.0,3.5,136843.55,8.0,470680.06,517919.0,0.0,0.0,3.5,136843.55,8.5,488508.06,1282497.85,1437507.37
CO,COLORADO,0800020,State Charter School Institute,6502,MOUNTAIN MIDDLE SCHOOL,080002006502,No,1122649.83,11.47,725639.74,333823.0,0.0,-9.0,4.04,169045.85,3.64,227964.24,735261.34,0.0,0.0,4.04,169045.85,3.64,227964.24,1132271.43,430463.0
CO,COLORADO,0800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,080002006503,No,3387961.39,59.95,2778917.64,2887747.38,10.16,209584.3,9.98,173170.29,1.99,226289.16,2778917.64,10.16,209584.3,9.98,173170.29,1.99,226289.16,3387961.39,2887747.38
CO,COLORADO,0800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,080002006542,No,2548764.0,36.75,1375814.0,202441.0,7.41,193655.0,16.67,644815.0,4.82,334480.0,1375814.0,7.41,193655.0,16.67,644815.0,4.82,334480.0,2548764.0,134961.0
CO,COLORADO,0800020,State Charter School Institute,6579,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,080002006579,No,588201.63,8.35,405529.77,91759.94,1.5,47530.68,1.0,53073.72,2.0,82067.46,437690.0,1.5,47530.68,1.03,54486.85,2.0,82067.46,621774.99,98899.48
CO,COLORADO,0800020,State Charter School Institute,6585,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,080002006585,No,499374.98,7.5,349567.62,166914.83,0.5,16359.93,1.0,51379.99,2.0,82067.44,362759.85,0.5,16359.93,1.2,68171.2,2.0,82067.44,529358.42,168681.79
CO,COLORADO,0800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,080002006586,No,1638690.48,45.0,1028498.57,1599870.0,12.0,204089.79,3.0,191097.24,10.0,215004.88,920217.0,12.22,204089.79,3.29,191097.24,10.0,215004.88,1638691.0,1730312.0
CO,COLORADO,0800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,080002006589,No,1331833.0,20.85,903911.0,1012745.0,4.5,85409.0,2.0,143338.0,4.5,199175.0,903911.0,4.5,85409.0,4.6,183864.0,4.5,199175.0,1372359.0,1012745.0
CO,COLORADO,0800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,080002006595,No,1340109.0,14.0,725785.0,348390.17,14.0,239970.0,3.0,211814.0,5.0,162540.0,772651.0,16.25,282890.0,3.0,211814.0,4.0,162540.0,1429895.0,348750.17
CO,COLORADO,0800020,State Charter School Institute,6596,GLOBAL VILLAGE ACADEMY - FORT COLLINS,080002006596,No,846604.91,15.0,637472.09,936601.43,0.0,-9.0,1.5,52090.94,2.0,157041.88,637472.09,0.0,0.0,1.5,52090.94,2.0,157041.88,846604.91,936601.43
CO,COLORADO,0800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,080002006602,No,485420.0,12.0,248027.0,798529.0,0.0,-9.0,3.0,71643.0,2.0,165750.0,460189.0,3.21,56270.0,2.24,112100.0,2.0,165750.0,794309.0,818529.0
CO,COLORADO,0800020,State Charter School Institute,6634,COLORADO EARLY COLLEGES - PARKER,080002006634,No,1334555.0,20.18,761145.0,138000.0,0.0,-9.0,11.0,383410.0,3.0,190000.0,761145.0,0.0,0.0,11.0,383410.0,3.0,190000.0,1334555.0,138000.0
CO,COLORADO,0800020,State Charter School Institute,6635,TWO RIVERS COMMUNITY SCHOOL,080002006635,No,1082273.29,20.0,787376.9,5427146.38,3.0,60594.89,2.0,51056.81,3.0,183244.69,787376.9,0.0,60594.89,0.0,51056.81,3.0,183244.69,1082273.29,5459610.38
CO,COLORADO,0800020,State Charter School Institute,6651,SALIDA MONTESSORI CHARTER SCHOOL,080002006651,No,318426.13,9.0,276941.24,234123.23,2.0,3707.89,0.0,-9.0,2.0,37777.0,290867.8,2.26,59908.0,0.93,111510.0,1.05,51617.0,513902.8,235823.23
CO,COLORADO,0800020,State Charter School Institute,6653,EARLY LEARNING CENTER AT NEW LEGACY CHARTER SCHOOL,080002006653,No,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,44880.0,2.17,57500.0,0.18,10170.0,1.6,96020.0,208570.0,19134.0
CO,COLORADO,0800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,080002006661,No,548990.0,6.63,288783.0,871315.0,0.0,-9.0,1.84,83632.0,1.77,133075.0,381663.0,0.54,14040.0,2.64,116767.0,1.77,133075.0,645545.0,905332.0
CO,COLORADO,0800020,State Charter School Institute,6700,LAUNCH HIGH SCHOOL,080002006700,No,503000.0,5.0,205000.0,557943.0,1.0,28000.0,2.0,60000.0,4.0,210000.0,205000.0,1.0,28000.0,2.0,60000.0,4.0,210000.0,503000.0,677291.0
CO,COLORADO,0800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,080002006701,No,771819.02,10.5,478298.0,36183.75,5.3,145651.02,0.5,15120.0,3.0,132750.0,478298.0,7.4,199298.8,0.5,15120.0,3.0,132750.0,825466.8,48245.0
CO,COLORADO,0800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,080002006706,No,103837.0,2.83,44222.0,255153.0,0.87,21173.0,0.69,16311.0,0.58,22131.0,77328.0,0.87,21173.0,0.69,16311.4,0.58,22131.0,136943.4,255153.15
CO,COLORADO,0800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,080002006708,No,1770610.0,34.0,1122161.0,1896428.0,6.25,69318.0,5.0,172494.0,4.0,406637.0,1170025.0,9.0,113650.0,5.0,172494.0,4.0,406637.0,1862806.0,2042336.0
CO,COLORADO,0800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,080002006710,No,920500.0,14.98,594750.0,853036.56,0.0,-9.0,4.51,196750.0,1.94,129000.0,594750.0,0.0,0.0,4.26,196750.0,1.94,129000.0,920500.0,1081000.56
CO,COLORADO,0800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,080002306410,No,4087199.0,35.0,1803313.0,6246710.0,10.5,250827.0,23.0,1352899.0,6.1,680160.0,1897143.0,11.0,268085.0,23.0,1352899.0,6.1,680160.0,4198287.0,6742187.0
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,080028206600,No,3567716.0,51.55,2526378.0,1078474.0,2.0,0.0,2.0,102477.0,8.75,938861.0,2526378.0,0.0,0.0,2.37,102477.0,8.75,938861.0,3567716.0,1708474.0
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,080028206664,No,2035285.0,27.3,1338117.0,676348.0,0.0,-9.0,5.0,229788.0,5.25,467380.0,1338117.0,0.0,0.0,5.0,229788.0,5.25,467380.0,2035285.0,676348.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99995,ZEBULON PIKE YOUTH SERVICES CENTER,080028699995,No,385977.0,4.0,277855.0,17000.0,0.0,-9.0,0.75,19921.0,1.0,88201.0,396247.0,0.0,0.0,0.75,19921.0,1.0,88201.0,504370.0,17000.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99996,PLATTE VALLEY YOUTH SERVICES CENTER,080028699996,Yes,632940.62,5.5,483205.55,87637.85,0.0,-9.0,0.5,35302.37,1.0,114432.72,570530.55,0.0,0.0,0.5,35302.37,1.0,114432.72,720265.64,87637.85
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99997,MOUNT VIEW YOUTH SERVICES CENTER,080028699997,No,751857.0,10.0,603668.0,20000.0,0.0,-9.0,1.0,49440.0,1.0,98750.0,702449.0,0.0,0.0,1.0,49440.0,1.0,98750.0,850638.0,20000.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99998,LOOKOUT MOUNTAIN YOUTH SERVICES CENTER,080028699998,No,1170752.0,10.75,585650.0,169410.0,4.0,235899.0,1.75,93393.0,2.75,255810.0,734078.0,4.0,235899.0,2.25,113648.0,2.75,255810.0,1326435.0,174410.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99999,GRAND MESA YOUTH SERVICES CENTER,080028699999,No,439637.0,5.0,301996.0,17000.0,0.0,-9.0,1.0,49440.0,1.0,88201.0,405296.0,0.0,0.0,1.0,49440.0,1.0,88201.0,542937.0,17000.0
