LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,800020,State Charter School Institute,6639,Golden View Classical Academy,80002006639,-8,2,0,5,0,0,22,0,1,0,6,0,0,23,59,1,2,4,2,0,1,0,-8
CO,COLORADO,800020,State Charter School Institute,6651,Salida Montessori Charter School,80002006651,-8,-8,0,0,-8,-8,3,-8,-8,0,0,0,-8,6,9,0,0,0,0,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6661,New Legacy Charter School,80002006661,-8,-8,5,17,-8,1,2,1,-8,7,65,1,0,5,104,6,8,-8,-8,13,47,1,9
CO,COLORADO,800020,State Charter School Institute,6700,Launch High School,80002006700,0,-8,0,2,1,-8,14,-8,-8,0,2,1,-8,4,24,1,0,-8,-8,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6701,Mountain Village Montessori Charter School,80002006701,-8,-8,-8,0,-8,-8,13,-8,0,-8,0,-8,-8,12,25,1,0,1,0,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6706,Monument View Montessori Charter School,80002006706,-8,-8,-8,0,-8,-8,7,-8,-8,-8,2,1,-8,5,15,-8,2,-8,-8,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6708,Colorado Military Academy,80002006708,1,3,7,30,7,0,77,1,3,7,28,0,0,44,208,21,9,12,3,4,3,3,2
CO,COLORADO,800020,State Charter School Institute,6710,Colorado Early Colleges Aurora,80002006710,-8,5,7,48,6,-8,12,2,1,7,46,1,-8,6,141,6,3,3,1,30,17,-8,-8
CO,COLORADO,800020,State Charter School Institute,6760,Ascent Classical Academy,80002006760,0,2,1,4,4,-8,49,-8,1,4,8,3,-8,38,114,4,3,1,1,4,1,0,0
CO,COLORADO,800020,State Charter School Institute,6761,Coperni 2,80002006761,3,0,7,11,1,-8,13,-8,1,8,9,4,-8,6,63,5,3,0,-8,2,3,-8,-8
CO,COLORADO,800020,State Charter School Institute,6768,Axis International Academy,80002006768,-8,0,0,4,0,-8,4,-8,0,0,11,1,-8,3,23,0,1,0,0,2,5,-8,-8
CO,COLORADO,800020,State Charter School Institute,6777,Colorado Early Colleges Fort Collins West,80002006777,-8,0,-8,1,0,-8,4,0,0,-8,3,0,-8,3,11,0,0,-8,-8,2,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6779,Colorado Early Colleges Windsor,80002006779,-8,-8,-8,5,1,-8,18,-8,-8,1,0,2,-8,19,46,0,0,-8,0,-8,-8,0,-8
CO,COLORADO,800020,State Charter School Institute,6784,Coperni 3,80002006784,0,0,4,17,4,1,36,0,1,8,14,1,0,28,114,7,7,-8,-8,5,10,0,-8
CO,COLORADO,800020,State Charter School Institute,6796,Ascent Classical Academy Northern Colorado,80002006796,0,0,2,5,1,-8,15,0,-8,0,1,1,-8,17,42,2,1,1,1,0,0,-8,-8
CO,COLORADO,800023,Colorado School for the Deaf and Blind,6410,Colorado School for the Deaf and Blind,80002306410,-8,1,2,12,1,-8,14,-8,2,1,21,0,-8,9,63,30,33,-8,-8,-8,-8,0,1
CO,COLORADO,800282,EDUCATION REENVISIONED BOCES,6600,Colorado Preparatory Academy High School,80028206600,-8,0,8,30,1,0,30,1,0,7,44,7,-8,67,195,8,5,5,8,7,6,1,4
CO,COLORADO,800282,EDUCATION REENVISIONED BOCES,6664,Pikes Peak Online School,80028206664,0,2,5,37,6,0,67,1,1,10,41,4,1,63,238,26,16,4,11,6,6,1,5
CO,COLORADO,800282,EDUCATION REENVISIONED BOCES,6752,Colorado Preparatory Academy Elementary School,80028206752,0,2,21,61,15,1,103,4,0,17,85,8,0,67,384,35,21,6,3,5,10,2,6
CO,COLORADO,800282,EDUCATION REENVISIONED BOCES,6764,Colorado Preparatory Academy Middle School,80028206764,2,0,6,27,7,0,39,2,0,6,42,5,0,44,180,18,16,4,2,3,3,1,5
CO,COLORADO,800282,EDUCATION REENVISIONED BOCES,6804,Orton Academy,80028206804,-8,1,3,2,-8,0,9,-8,0,0,1,-8,1,7,24,11,5,1,1,-8,-8,-8,-8
CO,COLORADO,800292,Colorado River BOCES,1503,Yampah Mountain School,80029201503,0,0,-8,0,-8,0,0,0,-8,0,0,-8,-8,0,0,0,0,-8,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,Challenger Middle School,80192000001,1,1,0,3,1,0,13,1,0,0,3,2,1,11,37,4,3,2,1,0,0,0,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,Air Academy High School,80192000002,0,1,2,14,4,0,37,1,2,2,11,1,-8,24,99,15,6,5,5,0,1,1,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",3,Douglass Valley Elementary School,80192000003,0,0,1,9,2,0,7,-8,0,5,5,3,0,9,41,4,0,0,1,0,1,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,Edith Wolford Elementary School,80192000004,0,-8,0,4,1,-8,17,-8,-8,0,3,3,-8,12,40,9,4,0,0,1,-8,-8,1
