LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0800020,State Charter School Institute,6796,Ascent Classical Academy Northern Colorado,080002006796,No,15.06,5.45,9.61,0.0,0.0,0.0,1.54,0.54,0.0
CO,Colorado,0800023,Colorado School For The Deaf And Blind,6410,Colorado School For The Deaf And Blind,080002306410,No,30.49,28.49,2.0,2.0,0.0,3.0,4.0,1.73,0.98
CO,Colorado,0800282,Education Reenvisioned Boces,6600,Colorado Preparatory Academy High School,080028206600,No,29.25,29.25,0.0,3.64,0.0,0.0,0.0,0.5,0.0
CO,Colorado,0800282,Education Reenvisioned Boces,6664,Pikes Peak Online School,080028206664,No,30.75,30.75,0.0,4.0,0.0,0.0,0.0,0.5,0.0
CO,Colorado,0800282,Education Reenvisioned Boces,6752,Colorado Preparatory Academy Elementary School,080028206752,No,51.25,51.25,0.0,0.5,0.0,0.0,0.0,0.5,0.0
CO,Colorado,0800282,Education Reenvisioned Boces,6764,Colorado Preparatory Academy Middle School,080028206764,No,36.75,36.75,0.0,0.5,0.0,0.0,0.0,0.5,0.0
CO,Colorado,0800282,Education Reenvisioned Boces,6804,Orton Academy,080028206804,No,3.39,3.39,0.0,0.0,0.0,0.0,0.07,0.0,0.0
CO,Colorado,0800286,Division Of Youth Services,6659,Spring Creek Youth Services Center,080028606659,Yes,7.0,6.0,1.0,0.0,-9.0,-9.0,0.0,0.0,1.0
CO,Colorado,0800286,Division Of Youth Services,6702,Grand Mesa Youth Services Center,080028606702,Yes,9.0,8.0,1.0,0.0,-9.0,-9.0,0.0,0.0,1.0
CO,Colorado,0800286,Division Of Youth Services,6703,Mount View Youth Services Center,080028606703,Yes,11.0,10.0,1.0,0.0,-9.0,-9.0,0.0,0.0,1.0
CO,Colorado,0800286,Division Of Youth Services,6704,Platte Valley Youth Services Center,080028606704,Yes,6.5,5.5,1.0,0.0,-9.0,-9.0,0.0,0.0,1.0
CO,Colorado,0800286,Division Of Youth Services,99998,Lookout Mountain Youth Services Center,080028699998,Yes,15.0,15.0,0.0,0.0,-9.0,-9.0,0.0,0.0,1.0
CO,Colorado,0800292,Colorado River Boces,1503,Yampah Mountain School,080029201503,No,9.75,9.75,0.0,1.0,0.0,0.0,0.0,0.0,1.4
CO,Colorado,0801920,Academy School District No. 20,1,Challenger Middle School,080192000001,No,44.0,42.5,1.5,2.5,0.0,2.0,0.33,0.41,0.0
CO,Colorado,0801920,Academy School District No. 20,2,Air Academy High School,080192000002,No,81.9,81.9,0.0,4.0,0.0,4.0,0.34,0.34,1.0
CO,Colorado,0801920,Academy School District No. 20,3,Douglass Valley Elementary School,080192000003,No,23.9,23.9,0.0,1.0,0.0,0.35,0.33,1.33,0.3
CO,Colorado,0801920,Academy School District No. 20,4,Edith Wolford Elementary School,080192000004,No,23.1,22.1,1.0,0.8,0.0,0.35,0.25,0.48,0.5
CO,Colorado,0801920,Academy School District No. 20,5,Mountain View Elementary School,080192000005,No,32.0,32.0,0.0,1.0,0.0,0.35,0.33,0.41,1.0
CO,Colorado,0801920,Academy School District No. 20,7,Rockrimmon Elementary School,080192000007,No,21.3,21.3,0.0,1.0,0.0,0.35,0.5,0.0,0.3
CO,Colorado,0801920,Academy School District No. 20,8,Woodmen-Roberts Elementary School,080192000008,No,27.9,27.9,0.0,1.0,0.0,0.35,1.0,0.15,0.0
CO,Colorado,0801920,Academy School District No. 20,123,Antelope Trails Elementary School,080192000123,No,24.1,24.1,0.0,1.0,0.0,0.35,0.25,0.06,0.5
CO,Colorado,0801920,Academy School District No. 20,531,Prairie Hills Elementary School,080192000531,No,29.9,29.9,0.0,1.0,0.0,0.35,0.33,1.0,0.5
CO,Colorado,0801920,Academy School District No. 20,858,Aspen Valley Campus,080192000858,No,16.0,15.0,1.0,2.0,0.0,1.0,0.34,0.54,0.0
CO,Colorado,0801920,Academy School District No. 20,1319,Foothills Elementary School,080192001319,No,24.5,24.5,0.0,1.0,0.0,0.35,0.33,0.59,0.0
CO,Colorado,0801920,Academy School District No. 20,1320,High Plains Elementary School,080192001320,No,24.5,24.5,0.0,1.0,0.0,0.35,0.34,0.19,0.5
CO,Colorado,0801920,Academy School District No. 20,1321,Rampart High School,080192001321,No,89.1,89.1,0.0,6.0,0.0,4.0,0.5,0.34,0.5
CO,Colorado,0801920,Academy School District No. 20,1387,Frontier Elementary School,080192001387,No,26.1,26.1,0.0,1.0,0.0,0.35,0.25,0.56,0.5
CO,Colorado,0801920,Academy School District No. 20,1402,Eagleview Middle School,080192001402,No,56.5,55.5,1.0,3.0,0.0,2.0,0.33,0.09,0.0
CO,Colorado,0801920,Academy School District No. 20,1429,Liberty High School,080192001429,No,98.5,97.5,1.0,6.0,0.0,4.0,0.8,0.34,1.0
CO,Colorado,0801920,Academy School District No. 20,1430,Pioneer Elementary School,080192001430,No,29.5,29.5,0.0,1.0,0.0,0.35,0.33,0.0,0.6
CO,Colorado,0801920,Academy School District No. 20,1462,Timberview Middle School,080192001462,No,54.0,54.0,0.0,2.8,0.0,2.0,1.0,0.28,0.5
CO,Colorado,0801920,Academy School District No. 20,1496,Explorer Elementary School,080192001496,No,27.0,27.0,0.0,1.0,0.0,0.35,0.33,0.39,0.5
CO,Colorado,0801920,Academy School District No. 20,1592,The Classical Academy Charter,080192001592,No,123.26,47.6,75.66,3.0,0.0,0.7,2.55,1.0,0.0
CO,Colorado,0801920,Academy School District No. 20,1593,Mountain Ridge Middle School,080192001593,No,52.8,52.8,0.0,3.0,0.0,2.0,0.5,0.2,0.5
CO,Colorado,0801920,Academy School District No. 20,1643,Academy Endeavour Elementary School,080192001643,No,24.7,24.7,0.0,0.8,0.0,0.35,1.0,0.09,0.5
CO,Colorado,0801920,Academy School District No. 20,1644,Academy International Elementary School,080192001644,No,26.5,26.5,0.0,1.0,0.0,0.35,0.33,0.42,0.5
CO,Colorado,0801920,Academy School District No. 20,1645,Pine Creek High School,080192001645,No,90.1,90.1,0.0,5.0,0.0,4.0,1.0,0.34,0.5
CO,Colorado,0801920,Academy School District No. 20,1842,The Da Vinci Academy,080192001842,No,28.0,28.0,0.0,1.2,0.0,0.35,0.34,0.27,0.5
CO,Colorado,0801920,Academy School District No. 20,1905,Discovery Canyon Campus High School,080192001905,No,65.3,65.3,0.0,2.5,0.0,1.0,1.0,0.84,0.33
CO,Colorado,0801920,Academy School District No. 20,1931,The Classical Academy Middle School,080192001931,No,29.4,12.0,17.4,1.0,0.0,0.7,0.5,0.35,0.0
CO,Colorado,0801920,Academy School District No. 20,1943,The Classical Academy High School,080192001943,No,48.3,16.9,31.4,2.0,0.0,0.7,0.5,0.5,0.0
CO,Colorado,0801920,Academy School District No. 20,6329,Chinook Trail Elementary School,080192006329,No,39.0,39.0,0.0,1.6,0.0,0.35,0.5,0.0,0.5
CO,Colorado,0801920,Academy School District No. 20,6336,Ranch Creek Elementary,080192006336,No,29.8,29.8,0.0,1.0,0.0,0.35,0.34,0.95,0.6
CO,Colorado,0801920,Academy School District No. 20,6434,Village High School,080192006434,No,15.4,15.4,0.0,2.0,0.0,1.0,0.25,0.43,0.0
CO,Colorado,0801920,Academy School District No. 20,6447,Tca College Pathways,080192006447,No,18.9,3.4,15.5,1.0,0.0,0.5,0.25,0.15,0.0
CO,Colorado,0801920,Academy School District No. 20,6478,Journey K8,080192006478,No,69.75,63.75,6.0,1.0,0.0,0.5,0.25,0.0,0.0
CO,Colorado,0801920,Academy School District No. 20,6616,Discovery Canyon Campus Middle School,080192006616,No,44.4,44.4,0.0,2.0,0.0,3.0,0.5,0.7,0.83
CO,Colorado,0801920,Academy School District No. 20,6619,Briargate Preschool,080192006619,No,6.7,6.7,0.0,0.0,0.0,0.35,0.5,0.06,0.0
CO,Colorado,0801920,Academy School District No. 20,6631,Discovery Canyon Campus Elementary School,080192006631,No,29.5,29.0,0.5,1.0,0.0,0.35,0.5,0.56,0.33
CO,Colorado,0801920,Academy School District No. 20,6745,New Summit Charter Academy,080192006745,No,39.0,25.0,14.0,1.0,0.0,1.0,0.6,0.0,0.0
CO,Colorado,0801920,Academy School District No. 20,6758,Legacy Peak Elementary School,080192006758,No,33.0,33.0,0.0,1.0,0.0,0.35,0.25,0.5,0.5
CO,Colorado,0801920,Academy School District No. 20,6788,Chinook Trail Middle School,080192006788,No,44.5,44.5,0.0,3.0,0.0,1.0,0.5,0.2,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,9,Adams City Middle School,080195000009,No,38.75,38.75,0.0,2.0,0.0,1.0,0.0,0.0,1.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,10,Adams City High School,080195000010,No,82.0,82.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
