LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,COLORADO,0800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,080002006503,No,59.95,58.93,1.02,0.0,0.0,59.0,45.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0
CO,COLORADO,0800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,080002006542,No,36.75,34.2,2.55,9.0,2.0,51.0,22.0,1.0,7.43,0.0,0.0,1.1,0.12,0.0
CO,COLORADO,0800020,State Charter School Institute,6579,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,080002006579,No,8.35,8.35,0.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6585,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,080002006585,No,10.57,10.57,0.0,4.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,080002006586,No,45.0,11.0,34.0,6.0,1.0,29.0,22.0,1.0,0.0,0.0,0.0,0.0,0.19,1.0
CO,COLORADO,0800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,080002006589,No,22.85,12.85,10.0,1.0,0.0,25.0,23.0,1.0,0.5,0.0,0.0,0.2,0.1,0.0
CO,COLORADO,0800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,080002006595,No,15.32,14.3,1.02,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
CO,COLORADO,0800020,State Charter School Institute,6596,GLOBAL VILLAGE ACADEMY - FORT COLLINS,080002006596,No,15.0,12.0,3.0,2.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
CO,COLORADO,0800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,080002006602,No,12.77,12.77,0.0,0.0,0.0,13.0,8.0,4.0,2.0,0.0,0.0,0.0,0.25,0.0
CO,COLORADO,0800020,State Charter School Institute,6634,COLORADO EARLY COLLEGES - PARKER,080002006634,No,20.18,20.18,0.0,0.0,0.0,29.0,20.0,0.0,4.5,0.0,1.0,0.5,0.5,0.5
CO,COLORADO,0800020,State Charter School Institute,6635,TWO RIVERS COMMUNITY SCHOOL,080002006635,No,20.0,19.0,1.0,0.0,0.0,18.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6651,SALIDA MONTESSORI CHARTER SCHOOL,080002006651,No,10.57,10.57,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.23,0.12,0.0
CO,COLORADO,0800020,State Charter School Institute,6653,EARLY LEARNING CENTER AT NEW LEGACY CHARTER SCHOOL,080002006653,No,0.13,0.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
CO,COLORADO,0800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,080002006661,No,8.6,7.24,1.36,0.0,0.0,9.0,5.0,0.0,0.64,0.0,0.0,0.0,0.0,0.9
CO,COLORADO,0800020,State Charter School Institute,6700,LAUNCH HIGH SCHOOL,080002006700,No,5.0,4.0,1.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,080002006701,No,10.71,10.71,0.0,0.0,1.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,080002006706,No,2.83,2.83,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0
CO,COLORADO,0800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,080002006708,No,34.6,33.58,1.02,4.0,6.0,35.0,0.0,3.0,1.01,0.0,0.0,1.01,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,080002006710,No,16.0,16.0,0.0,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,COLORADO,0800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,080002306410,No,37.0,35.0,2.0,3.0,4.0,35.0,37.0,5.0,2.0,0.0,3.0,4.5,2.0,1.0
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,080028206600,No,42.25,42.25,0.0,0.0,0.0,45.0,32.0,2.0,1.0,0.0,0.0,0.0,0.75,0.0
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,080028206664,No,19.25,19.25,0.0,0.0,0.0,20.0,17.0,0.0,1.5,0.0,0.0,0.0,0.25,0.62
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99995,ZEBULON PIKE YOUTH SERVICES CENTER,080028699995,No,7.0,7.0,0.0,1.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99996,PLATTE VALLEY YOUTH SERVICES CENTER,080028699996,Yes,6.5,6.5,0.0,0.0,0.0,7.0,5.0,6.5,0.0,0.0,-9.0,0.0,0.0,0.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99997,MOUNT VIEW YOUTH SERVICES CENTER,080028699997,No,10.0,10.0,0.0,0.0,0.0,16.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99998,LOOKOUT MOUNTAIN YOUTH SERVICES CENTER,080028699998,No,19.0,19.0,0.0,4.0,3.0,16.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99999,GRAND MESA YOUTH SERVICES CENTER,080028699999,No,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800292,COLORADO RIVER BOCES,1503,YAMPAH MOUNTAIN SCHOOL,080029201503,No,11.55,11.55,0.0,2.0,0.0,11.0,9.0,1.0,1.0,0.16,0.0,0.0,0.0,2.58
CO,COLORADO,0801920,Academy School District No. 20,1,CHALLENGER MIDDLE SCHOOL,080192000001,No,53.8,53.8,0.0,4.0,1.0,59.0,48.0,18.0,3.0,0.0,0.87,1.0,0.9,0.0
CO,COLORADO,0801920,Academy School District No. 20,2,AIR ACADEMY HIGH SCHOOL,080192000002,No,78.5,77.5,1.0,2.8,3.6,113.0,66.0,20.0,5.0,0.0,2.2,0.5,0.5,1.0
CO,COLORADO,0801920,Academy School District No. 20,3,DOUGLASS VALLEY ELEMENTARY SCHOOL,080192000003,No,26.1,26.1,0.0,1.4,0.0,34.0,22.0,14.0,1.0,0.0,0.18,0.5,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,4,EDITH WOLFORD ELEMENTARY SCHOOL,080192000004,No,26.2,26.2,0.0,1.0,1.0,37.0,27.0,11.0,0.6,0.0,0.18,0.33,0.4,0.5
CO,COLORADO,0801920,Academy School District No. 20,5,MOUNTAIN VIEW ELEMENTARY SCHOOL,080192000005,No,36.0,36.0,0.0,0.0,1.0,40.0,33.0,25.5,1.0,0.0,0.18,0.5,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,7,ROCKRIMMON ELEMENTARY SCHOOL,080192000007,No,21.8,21.8,0.0,0.5,1.0,25.0,22.0,3.87,1.0,0.0,0.18,0.34,0.4,0.0
CO,COLORADO,0801920,Academy School District No. 20,8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,080192000008,No,26.5,25.5,1.0,2.0,1.8,35.0,25.0,10.0,1.0,0.0,0.18,0.5,0.6,0.0
CO,COLORADO,0801920,Academy School District No. 20,123,ANTELOPE TRAILS ELEMENTARY SCHOOL,080192000123,No,22.5,22.5,0.0,0.0,0.0,29.0,26.0,13.37,1.0,0.0,0.18,0.25,0.3,0.0
CO,COLORADO,0801920,Academy School District No. 20,531,PRAIRIE HILLS ELEMENTARY SCHOOL,080192000531,No,27.4,27.4,0.0,0.0,3.0,31.0,27.0,15.0,1.0,0.0,0.18,0.33,0.2,1.0
CO,COLORADO,0801920,Academy School District No. 20,858,ASPEN VALLEY CAMPUS,080192000858,No,16.16,16.16,0.0,1.0,0.0,27.0,15.0,5.0,2.0,0.0,0.18,0.25,0.33,0.5
CO,COLORADO,0801920,Academy School District No. 20,1319,FOOTHILLS ELEMENTARY SCHOOL,080192001319,No,26.6,26.6,0.0,1.0,1.5,29.0,23.0,7.0,1.0,0.0,0.18,0.25,0.4,1.0
CO,COLORADO,0801920,Academy School District No. 20,1320,HIGH PLAINS ELEMENTARY SCHOOL,080192001320,No,25.8,25.8,0.0,0.0,1.0,36.0,26.0,10.0,1.0,0.0,0.18,0.34,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,1321,RAMPART HIGH SCHOOL,080192001321,No,95.2,94.2,1.0,5.0,6.2,134.0,80.0,31.0,6.0,0.0,2.2,1.0,0.34,0.5
CO,COLORADO,0801920,Academy School District No. 20,1387,FRONTIER ELEMENTARY SCHOOL,080192001387,No,31.5,31.5,0.0,0.0,1.0,40.0,30.0,14.0,1.0,0.0,0.18,0.25,0.5,1.0
CO,COLORADO,0801920,Academy School District No. 20,1402,EAGLEVIEW MIDDLE SCHOOL,080192001402,No,58.0,57.0,1.0,2.0,0.5,66.0,53.0,26.97,3.0,0.0,0.87,0.25,0.3,0.5
CO,COLORADO,0801920,Academy School District No. 20,1429,LIBERTY HIGH SCHOOL,080192001429,No,91.7,90.7,1.0,6.1,3.0,107.0,82.0,31.0,5.0,0.0,2.2,1.0,0.5,1.0
CO,COLORADO,0801920,Academy School District No. 20,1430,PIONEER ELEMENTARY SCHOOL,080192001430,No,31.0,31.0,0.0,3.6,0.5,41.0,29.0,5.0,1.0,0.0,0.18,0.33,0.3,0.4
CO,COLORADO,0801920,Academy School District No. 20,1462,TIMBERVIEW MIDDLE SCHOOL,080192001462,No,61.3,61.3,0.0,1.0,2.0,70.0,57.0,24.0,3.0,0.0,0.87,0.5,0.4,0.5
CO,COLORADO,0801920,Academy School District No. 20,1496,EXPLORER ELEMENTARY SCHOOL,080192001496,No,30.8,30.8,0.0,1.0,1.5,35.0,30.0,12.0,1.0,0.0,0.18,0.25,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,1592,THE CLASSICAL ACADEMY CHARTER,080192001592,No,111.93,41.02,70.91,8.0,6.0,129.0,117.0,6.38,3.0,0.0,0.54,2.5,0.99,0.0
CO,COLORADO,0801920,Academy School District No. 20,1593,MOUNTAIN RIDGE MIDDLE SCHOOL,080192001593,No,61.2,61.2,0.0,6.0,2.0,69.0,50.0,19.0,3.0,0.0,0.87,0.5,0.5,0.0
CO,COLORADO,0801920,Academy School District No. 20,1643,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,080192001643,No,31.7,31.7,0.0,1.0,2.0,36.0,28.0,13.0,0.8,0.0,0.18,0.25,0.3,0.4
CO,COLORADO,0801920,Academy School District No. 20,1644,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,080192001644,No,37.4,37.4,0.0,2.0,1.5,42.0,33.0,21.0,1.0,0.0,0.18,0.33,0.4,0.5
CO,COLORADO,0801920,Academy School District No. 20,1645,PINE CREEK HIGH SCHOOL,080192001645,No,89.0,89.0,0.0,3.7,5.1,124.0,80.0,31.0,5.0,0.0,2.2,1.0,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,1842,THE DA VINCI ACADEMY SCHOOL,080192001842,No,29.4,29.4,0.0,2.0,1.0,37.0,28.0,11.53,1.0,0.0,0.18,0.34,0.0,0.5
CO,COLORADO,0801920,Academy School District No. 20,1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,080192001905,No,67.7,65.7,2.0,3.0,3.8,78.0,53.0,22.0,5.0,0.0,2.2,1.0,0.33,0.4
CO,COLORADO,0801920,Academy School District No. 20,1931,THE CLASSICAL ACADEMY MIDDLE SCHOOL,080192001931,No,29.8,8.2,21.6,1.0,3.0,29.0,26.0,5.2,1.0,0.0,0.83,0.3,0.34,0.0
CO,COLORADO,0801920,Academy School District No. 20,1943,THE CLASSICAL ACADEMY HIGH SCHOOL,080192001943,No,50.1,12.3,37.8,2.0,3.4,50.0,45.0,4.5,2.0,0.0,1.0,0.7,0.34,0.0
CO,COLORADO,0801920,Academy School District No. 20,6329,CHINOOK TRAIL ELEMENTARY SCHOOL,080192006329,No,39.7,38.1,1.6,1.0,0.0,49.0,41.0,20.0,1.0,0.0,0.18,0.33,0.3,0.5
CO,COLORADO,0801920,Academy School District No. 20,6336,RANCH CREEK ELEMENTARY,080192006336,No,34.0,34.0,0.0,2.0,1.0,44.0,31.0,9.0,1.0,0.0,0.18,0.33,0.0,0.6
CO,COLORADO,0801920,Academy School District No. 20,6434,ACADEMY ONLINE,080192006434,No,7.3,7.3,0.0,0.0,1.0,18.0,10.0,0.0,1.0,0.0,0.18,0.0,0.0,0.0
CO,COLORADO,0801920,Academy School District No. 20,6447,TCA COLLEGE PATHWAYS,080192006447,No,17.4,3.8,13.6,0.0,1.0,21.0,20.0,0.8,1.0,0.0,0.18,0.3,0.33,0.0
CO,COLORADO,0801920,Academy School District No. 20,6478,ACADEMY CALVERT K-8 ONLINE SCHOOL,080192006478,No,6.0,6.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.18,0.25,0.0,0.0
CO,COLORADO,0801920,Academy School District No. 20,6616,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,080192006616,No,55.35,55.35,0.0,3.5,2.0,71.0,51.0,28.0,3.0,0.0,0.87,0.4,0.5,0.5
CO,COLORADO,0801920,Academy School District No. 20,6619,BRIARGATE PRESCHOOL,080192006619,No,8.65,8.65,0.0,0.0,0.0,9.0,6.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0801920,Academy School District No. 20,6631,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,080192006631,No,30.5,30.5,0.0,0.0,1.0,35.0,34.0,14.0,1.0,0.0,0.18,0.4,0.2,0.4
CO,COLORADO,0801920,Academy School District No. 20,99998,EPP,080192099998,No,1.5,1.5,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
