LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
CO,COLORADO,0803720,Elizabeth School District,P O BOX 610,ELIZABETH,80107,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803750,Ellicott School District No. 22,322 SOUTH ELLICOTT HIGHWAY,ELLICOTT,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803780,Englewood School District No. 1 in the county of Arapahoe,4101 SOUTH BANNOCK STREET,ENGLEWOOD,80110,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803810,Estes Park School District R-3,1605 BRODIE AVENUE,ESTES PARK,80517,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803840,Park County School District No. Re-2,P.O. BOX 189,FAIRPLAY,80440,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803870,Falcon School District No. 49 in the county of El Paso and,10850 EAST WOODMEN ROAD,PEYTON,80831,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803930,School District No. Re-3 Frenchman,506 NORTH FREMONTAVE,FLEMING,80728,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803960,Fremont Re-2,403 WEST 5TH STREET,FLORENCE,81226,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803990,Poudre School District R-1,2407 LAPORTE AVENUE,Fort Collins,80521,Yes,Yes,3,2,1,0,0,0,0,0,1,0,8,5,1,1,14,8,0,0,0,0
CO,COLORADO,0804020,Weld County Reorganized School District No. Re-8,200 South Fulton Ave,FORT LUPTON,80621,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804050,Morgan County School District Re-3,715 W. PLATTE AVENUE,FORT MORGAN,80701,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804080,Fountain School District No. 8 in the county of El Paso an,10665 JIMMY CAMP ROAD,FOUNTAIN,80817,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804110,Fowler School District No. R4J,P O BOX 218,FOWLER,81039,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804140,Sierra Grande School District No. R-30,17523 HIGHWAY 160,BLANCA,81123,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804200,Weld County Reorganized School District No. Re-1,P O BOX 157,GILCREST,80623,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804230,Gilpin County School District No. Re-1,10595 HIGHWAY 119,BLACK HAWK,80422,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
