LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0801920,Academy School District No. 20,531,Prairie Hills Elementary School,080192000531,No,Yes,Yes,Yes,Yes,423
CO,Colorado,0801920,Academy School District No. 20,858,Aspen Valley Campus,080192000858,No,Yes,Yes,Yes,Yes,90
CO,Colorado,0801920,Academy School District No. 20,1319,Foothills Elementary School,080192001319,No,Yes,Yes,Yes,Yes,386
CO,Colorado,0801920,Academy School District No. 20,1320,High Plains Elementary School,080192001320,No,Yes,Yes,Yes,Yes,408
CO,Colorado,0801920,Academy School District No. 20,1321,Rampart High School,080192001321,No,Yes,Yes,Yes,Yes,498
CO,Colorado,0801920,Academy School District No. 20,1387,Frontier Elementary School,080192001387,No,Yes,Yes,Yes,Yes,342
CO,Colorado,0801920,Academy School District No. 20,1402,Eagleview Middle School,080192001402,No,Yes,Yes,Yes,Yes,796
CO,Colorado,0801920,Academy School District No. 20,1429,Liberty High School,080192001429,No,Yes,Yes,Yes,Yes,457
CO,Colorado,0801920,Academy School District No. 20,1430,Pioneer Elementary School,080192001430,No,Yes,Yes,Yes,Yes,444
CO,Colorado,0801920,Academy School District No. 20,1462,Timberview Middle School,080192001462,No,Yes,Yes,Yes,Yes,409
CO,Colorado,0801920,Academy School District No. 20,1496,Explorer Elementary School,080192001496,No,Yes,Yes,Yes,Yes,445
CO,Colorado,0801920,Academy School District No. 20,1592,The Classical Academy Charter,080192001592,No,Yes,Yes,Yes,Yes,261
CO,Colorado,0801920,Academy School District No. 20,1593,Mountain Ridge Middle School,080192001593,No,Yes,Yes,Yes,Yes,420
CO,Colorado,0801920,Academy School District No. 20,1643,Academy Endeavour Elementary School,080192001643,No,Yes,Yes,Yes,Yes,499
CO,Colorado,0801920,Academy School District No. 20,1644,Academy International Elementary School,080192001644,No,Yes,Yes,Yes,Yes,455
