LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
CO,COLORADO,800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,80002006503,No,2,1,1,28,0,-8,21,0,1,2,36,0,1,31,53,71,2,1,1,1,18,16,-8,-8
CO,COLORADO,800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,80002006542,No,-8,0,1,7,0,0,28,-8,0,2,7,0,0,41,36,50,5,3,9,6,0,3,0,0
CO,COLORADO,800020,State Charter School Institute,6579,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,80002006579,No,-8,-8,-8,16,-8,-8,0,-8,0,2,13,0,-8,0,16,15,1,2,-8,-8,6,4,1,0
CO,COLORADO,800020,State Charter School Institute,6585,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,80002006585,No,-8,-8,-8,14,-8,-8,1,-8,-8,-8,16,-8,-8,1,15,17,0,1,-8,-8,6,1,0,-8
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,-8,1,0,1,0,0,1,-8,0,0,2,0,0,1,3,3,0,0,0,0,2,1,0,0
CO,COLORADO,800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,80002006589,No,0,0,0,10,5,1,27,-8,3,0,6,5,-8,18,43,32,-8,-8,2,0,-8,-8,-8,0
CO,COLORADO,800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,80002006595,No,-8,0,0,10,2,-8,6,0,0,2,4,1,-8,4,18,11,2,0,-8,0,2,1,0,-8
CO,COLORADO,800020,State Charter School Institute,6596,GLOBAL VILLAGE ACADEMY - FORT COLLINS,80002006596,No,0,0,0,0,0,0,0,0,0,0,0,0,-8,1,0,1,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,80002006602,No,-8,-8,1,17,0,-8,1,-8,-8,0,14,1,0,1,19,16,-8,-8,0,0,8,8,2,3
CO,COLORADO,800020,State Charter School Institute,6634,COLORADO EARLY COLLEGES - PARKER,80002006634,No,0,0,0,0,0,-8,3,0,0,0,0,0,-8,5,3,5,0,0,1,2,-8,-8,-8,-8
