LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
VA,VIRGINIA,5100073,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,813 Diligence Dr Ste 110,Newport News,23606,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100074,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,C/O SECEP,Norfolk,23502,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100075,REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,40 Douglass Avenue,Roanoke,24012,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100078,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,C/O Montgomery Co Public Schls,Christiansburg,24073,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100080,REGIONAL ALTERNATIVE/PITTSLVANIA CO,C/O Pittsylvania Co Pub Schls,Chatham,24531,No,Yes,1,0,0,0,1,0,0,0,2,18,30,65,0,3,34,86,0,1,0,1
VA,VIRGINIA,5100082,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,C/O Southeastern Alt School,Midland,22728,No,Yes,3,1,0,0,0,0,0,0,7,4,37,17,4,1,51,23,2,1,28,11
VA,VIRGINIA,5100083,PROJECT RENEW/NORTHAMPTON CO,Northampton CO Public Schools,Machipongo,23405,No,Yes,0,0,0,0,0,0,0,0,7,2,1,0,0,0,8,2,0,0,5,0
VA,VIRGINIA,5100084,RENAISSANCE/SCOTT CO,C/O Scott Co Public Schls,Gate City,24251,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100086,CROSSROADS ALTERNATIVE/BRISTOL CITY,C/O Bristol City Public Schls,Bristol,24201,No,Yes,1,0,0,0,0,0,0,0,4,2,16,17,2,1,23,20,0,0,7,1
VA,VIRGINIA,5100087,METRO RICHMOND ALTERNATIVE ED,C/O Richmond City Public Schls,Richmond,23219,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100088,REGIONAL ALTERNATIVE ED/STAFFORD CO,C/O Stafford Co Public Schls,Fredericksburg,22405,No,Yes,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,2,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,401 McIntire Road,Charlottesville,22902,No,Yes,19,22,0,0,11,26,0,0,18,18,128,255,11,21,187,342,10,10,22,28
VA,VIRGINIA,5100091,REGIONAL ALTERNATIVE ED/KING WILLIAM,C/O King William Co Pub Schls,King William,23086,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100092,NEW DOMINION ALT. CTR./PRINCE WILLIAM CO.,C/O Pr William Co Pub Schls,Manassas,20112,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100093,PROJECT BRIDGE/RUSSELL CO,PO Box 8,Lebanon,24266,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100094,REGIONAL ALTERNATIVE/WYTHE CO,C/O Wythe Co Public Schls,Wytheville,24382,No,Yes,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0
VA,VIRGINIA,5100096,PIEDMONT ALTERNATIVE SCHOOL,148 Vo-Tech Road,Jetersville,23083,No,Yes,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,3,0,0,0,0
