LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,18.0,16.0,2.0,2.0,0.0,18.0,16.0,3.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,24.0,24.0,0.0,1.0,2.0,24.0,22.0,15.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,49.0,45.0,4.0,3.0,3.0,49.0,49.0,21.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,39.0,36.0,3.0,2.0,2.0,39.0,36.0,7.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000014,No,12.0,12.0,0.0,0.0,0.0,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006001737,No,39.0,39.0,0.0,2.0,3.0,39.0,39.0,8.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006001738,No,45.0,41.0,4.0,3.0,5.0,45.0,41.0,14.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006002003,No,53.0,53.0,0.0,6.0,0.0,59.0,52.0,21.0,3.0,1.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,53.0,50.0,3.0,5.0,5.0,53.0,43.0,12.0,3.0,1.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,49.0,48.0,1.0,2.0,1.0,49.0,43.0,17.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,46.0,43.0,3.0,2.0,1.0,46.0,39.0,11.0,1.0,0.0,0.0,1.0,0.27,0.0
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,2561,Maggie L. Walker Governor's School,510006102561,No,53.0,53.0,0.0,0.0,0.0,64.0,61.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,2967,Yvonne B. Miller High School,510007002967,Yes,37.0,34.0,3.0,1.0,1.0,33.0,24.0,24.0,3.0,0.0,-9.0,0.0,1.0,0.0
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,2347,Lynchburg City Secondary Alternative,510007202347,No,17.0,14.0,3.0,1.0,2.0,17.0,17.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0
VA,VIRGINIA,5100073,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,2348,Enterprise Academy/Newport News City,510007302348,No,28.0,27.0,1.0,1.0,2.0,20.0,17.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0
VA,VIRGINIA,5100074,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,2349,Tidewater Regional Alternative Ed Project,510007402349,No,18.0,18.0,0.0,0.0,1.0,18.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100075,REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,2350,Reg Alternative Plus Self Project/Roanoke City,510007502350,No,17.06,17.06,0.0,1.0,0.0,17.0,13.0,4.06,1.0,0.0,1.0,0.5,0.0,0.0
VA,VIRGINIA,5100078,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,2353,Altern Ed Prgm/Behav Disord Youth/Montgomery,510007802353,No,14.82,13.99,0.83,7.69,1.0,17.0,19.0,5.0,1.0,0.25,0.0,1.0,0.25,0.1
VA,VIRGINIA,5100080,REGIONAL ALTERNATIVE/PITTSLVANIA CO,2355,Regional Alternative/Pittslvania Co,510008002355,No,11.0,11.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100082,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,2373,The Regional Community Alternative Ed Continuum,510008202373,No,12.0,9.0,3.0,2.0,0.0,12.0,13.0,6.0,1.0,0.0,0.0,0.0,0.35,0.35
VA,VIRGINIA,5100083,PROJECT RENEW/NORTHAMPTON CO,2374,Project Renew/Northampton Co,510008302374,No,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VA,VIRGINIA,5100084,RENAISSANCE/SCOTT CO,2375,Renaissance/Scott Co,510008402375,No,4.5,4.5,0.0,0.0,0.0,4.0,4.0,0.0,0.33,0.25,0.0,0.5,0.1,0.1
VA,VIRGINIA,5100086,CROSSROADS ALTERNATIVE/BRISTOL CITY,2357,Crossroads Alternative/Bristol City,510008602357,No,4.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
VA,VIRGINIA,5100087,METRO RICHMOND ALTERNATIVE ED,2358,Metro Richmond Alternative Ed,510008702358,No,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100088,REGIONAL ALTERNATIVE ED/STAFFORD CO,2359,Regional Alternative Ed/Stafford Co,510008802359,No,9.0,9.0,0.0,0.0,0.0,6.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,46.1,46.1,0.0,0.3,1.0,46.0,43.0,4.0,1.0,0.16,0.0,1.04,0.41,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,19.96,19.96,0.0,0.5,1.0,21.0,18.0,0.0,0.5,0.14,0.0,1.04,0.36,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,154.68,143.18,11.5,7.5,11.0,159.0,137.0,31.0,10.0,1.3,0.0,1.08,1.7,1.22
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,17,Broadus Wood Elementary,510009000017,No,22.2,21.2,1.0,2.0,0.0,20.0,16.0,5.0,0.5,0.04,0.0,1.02,0.22,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,18,Brownsville Elementary,510009000018,No,54.34,53.34,1.0,2.0,1.0,55.0,43.0,10.5,2.0,0.26,0.0,1.07,0.67,0.08
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000020,No,27.9,26.76,1.14,0.0,3.6,30.0,26.0,3.0,1.0,0.12,0.0,1.03,0.31,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000022,No,34.41,34.41,0.0,0.0,0.0,35.0,33.0,6.0,1.0,0.07,0.0,1.04,0.39,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,23,Jack Jouett Middle,510009000023,No,51.74,50.74,1.0,1.0,2.0,56.0,50.0,15.0,2.29,0.09,0.0,1.05,0.5,0.06
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,24,Jackson P. Burley Middle,510009000024,No,48.97,46.97,2.0,0.0,0.0,50.0,46.0,13.33,2.0,0.2,0.0,1.05,0.51,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,25,Joseph T. Henley Middle,510009000025,No,59.28,54.28,5.0,4.0,1.0,62.0,50.0,19.67,3.4,0.13,0.0,1.08,0.76,0.1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,26,Leslie H. Walton Middle,510009000026,No,34.88,30.88,4.0,1.0,2.0,37.0,32.0,6.5,2.0,0.12,0.0,1.03,0.3,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,27,Mary Carr Greer Elementary,510009000027,No,64.8,64.8,0.0,3.0,2.0,71.0,57.0,15.5,2.5,0.1,0.0,1.06,0.56,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,28,Meriwether Lewis Elementary,510009000028,No,32.34,29.34,3.0,0.0,2.62,34.0,26.0,7.0,1.0,0.09,0.0,1.02,0.22,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,29,Red Hill Elementary,510009000029,No,18.23,17.23,1.0,0.0,1.0,19.0,15.0,2.0,0.5,0.06,0.0,1.02,0.17,0.02
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,30,Murray High,510009000030,No,21.69,21.36,0.33,0.0,0.0,15.0,10.0,3.0,1.0,0.03,0.0,1.01,0.09,0.01
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,32,Stone Robinson Elementary,510009000032,No,36.13,35.13,1.0,0.0,2.0,39.0,34.0,8.0,1.0,0.14,0.0,1.04,0.35,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,33,Stony Point Elementary,510009000033,No,20.96,18.96,2.0,0.0,1.0,22.0,17.0,2.0,1.06,0.04,0.0,1.02,0.21,0.03
