LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100048,WESTERN ST HOSP,2325,Western St. Hosp. Ed. Pr.,510004802325,-8,MD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100048,WESTERN ST HOSP,2325,Western St. Hosp. Ed. Pr.,510004802325,-8,MR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100050,CENT VA TRAIN CT,1950,Central Va. Training Ctr.,510005001950,-8,MD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510005802558,No,HI,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,22,48
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510005802558,No,MD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510005802558,No,SLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VA,VIRGINIA,5100058,VSDB-STAUNTON,2559,Virginia School For Blind,510005802559,No,MD,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,7
VA,VIRGINIA,5100058,VSDB-STAUNTON,2559,Virginia School For Blind,510005802559,No,VI,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,25
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,AUT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,OHI,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,8
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,SLD,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,10
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,SLI,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,7
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,VI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,AUT,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,EMN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,MR,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,0,8
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,OHI,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,13
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,SLD,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,19
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,AUT,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4
