LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,2110 Washington Blvd,Arlington,22204,No,Yes,1,0,0,0,1,0,0,0,1,1,2,0,0,0,5,1,1,0,1,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,P O Box 960,Verona,24482,No,Yes,1,1,0,0,0,0,0,0,1,0,21,6,0,0,23,7,0,0,0,0
VA,VIRGINIA,5100330,BATH CO PBLC SCHS,PO Box 67,Warm Springs,24484,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100360,BEDFORD CO PBLC SCHS,310 S. Bridge St,Bedford,24523,No,Yes,0,1,0,0,0,0,0,0,0,1,12,9,1,0,13,11,0,0,3,0
VA,VIRGINIA,5100390,BLAND CO PBLC SCHS,361 Bears Trail,Bastian,24314,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100420,BOTETOURT CO PBLC SCHS,143 Poor Farm Rd,Fincastle,24090,No,Yes,0,0,0,0,0,1,0,0,0,0,6,1,0,0,6,2,0,1,2,1
VA,VIRGINIA,5100450,BRISTOL CITY PBLC SCHS,220 Lee Street,Bristol,24201,No,Yes,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0
VA,VIRGINIA,5100480,BRUNSWICK CO PBLC SCHS,1718 Farmer's Field Road,Lawrenceville,23868,No,Yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0
VA,VIRGINIA,5100510,BUCHANAN CO PBLC SCHS,1176 Booth Branch,Grundy,24614,No,Yes,0,0,0,0,0,0,0,0,0,0,14,1,0,0,14,1,0,0,3,0
VA,VIRGINIA,5100540,BUCKINGHAM CO PBLC SCHS,15595 West James Anderson Rd.,Buckingham,23921,No,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
VA,VIRGINIA,5100560,BUENA VISTA CITY PBLC SCHS,2329 Chestnut Ave. Suite A,Buena Vista,24416,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
VA,VIRGINIA,5100600,CAMPBELL CO PBLC SCHS,P.O. Box 99,Rustburg,24588,No,Yes,0,0,0,0,0,1,0,0,2,3,35,20,6,4,43,28,0,0,3,1
VA,VIRGINIA,5100660,CAROLINE CO PBLC SCHS,16261 Richmond Turnpike,Bowling Green,22427,No,Yes,0,1,0,0,0,0,0,0,1,2,7,4,0,0,8,7,0,1,0,0
VA,VIRGINIA,5100690,CARROLL CO PBLC SCHS,605-9  Pine St,Hillsville,24343,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
