LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,RC80,31,1,0,5,14,0,0,51
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,RF,0,0,0,0,1,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,SS,1,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,HH,0,0,0,3,0,0,0,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,RC39,1,0,0,0,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,RC79TO40,5,0,0,1,1,0,0,7
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,RC80,32,0,0,10,31,0,0,73
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,HH,1,0,0,1,0,0,0,2
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,PPPS,0,0,0,0,2,0,0,2
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,RC39,4,0,0,0,5,0,0,9
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,RC79TO40,2,0,0,1,1,0,0,4
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,RC80,30,0,0,13,18,0,0,61
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,2967,Yvonne B. Miller High School,510007002967,Yes,CF,66,0,0,8,7,0,0,81
VA,VIRGINIA,5100071,COMMONWEALTH CTR FOR CHILDREN & ADOLESCENTS,1949,Commonwealth Ctr For Children & Adolescents,510007101949,-8,HH,7,0,0,0,4,0,0,11
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,PPPS,0,0,0,0,3,0,0,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,RC79TO40,1,0,0,1,2,0,0,4
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,RC80,13,2,0,13,16,0,0,44
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,SS,0,0,0,0,3,0,0,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,PPPS,0,0,0,0,1,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,RC39,0,0,0,1,4,1,0,6
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,RC80,1,0,0,2,12,1,0,16
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,HH,0,1,0,0,1,0,0,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,PPPS,0,0,0,0,1,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,RC39,6,0,0,2,9,4,0,21
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,RC79TO40,5,2,0,2,7,3,0,19
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,RC80,64,10,0,22,73,1,1,171
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,RF,3,0,0,0,3,0,0,6
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,SS,5,1,0,1,9,0,0,16
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,17,Broadus Wood Elementary,510009000017,No,RC80,1,0,0,0,13,0,0,14
