LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,62,Amelia County Elementary,510018000062,No,-8,0,9,1,4,0,41,0,-8,4,0,0,1,35,55,40,17,3,-8,-8,1,1,-8,-8
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,63,Amelia County Middle,510018000063,No,0,0,9,3,1,-8,26,2,0,11,1,1,-8,28,39,43,8,8,2,1,1,0,-8,-8
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,1828,Amelia County High,510018001828,No,1,0,15,2,7,-8,49,-8,0,16,2,4,-8,47,74,69,14,11,1,-8,3,1,-8,-8
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,10,Madison Heights Elementary,510021000010,No,1,-8,5,0,1,-8,17,0,-8,4,1,2,-8,12,24,19,2,4,1,-8,0,0,3,1
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,64,Amelon Elementary,510021000064,No,0,0,4,3,5,-8,10,0,-8,0,1,3,0,8,22,12,6,0,1,-8,0,-8,1,2
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,65,Amherst County High,510021000065,No,0,0,30,4,17,-8,92,1,0,23,6,12,0,77,143,119,17,15,11,9,2,1,1,3
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,66,Amherst Middle,510021000066,No,0,-8,2,1,2,-8,22,0,-8,3,0,2,-8,11,27,16,3,0,4,-8,0,0,1,-8
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,67,Amherst Elementary,510021000067,No,0,-8,1,0,1,-8,6,0,-8,2,0,3,-8,6,8,11,3,0,-8,1,0,0,-8,-8
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,68,Central Elementary,510021000068,No,0,-8,0,1,1,-8,11,0,-8,3,1,3,-8,11,13,18,2,5,1,-8,0,-8,0,1
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,69,Elon Elementary,510021000069,No,1,-8,2,1,0,-8,12,0,0,1,0,2,-8,7,16,10,4,2,2,-8,-8,-8,1,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,72,Monelison Middle,510021000072,No,-8,0,5,2,0,-8,22,0,0,5,0,3,-8,26,29,34,2,4,6,2,0,0,1,1
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,75,Temperance Elementary,510021000075,No,-8,-8,0,-8,0,-8,1,-8,-8,1,0,1,-8,9,1,11,0,0,1,-8,-8,-8,-8,-8
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,76,Appomattox County High,510024000076,No,-8,0,17,1,2,-8,34,-8,0,19,2,4,-8,28,54,53,9,7,6,-8,0,0,1,-8
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,77,Appomattox Elementary,510024000077,No,-8,0,4,1,6,-8,9,-8,-8,2,1,3,-8,10,20,16,6,1,-8,-8,0,0,1,2
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,78,Appomattox Middle,510024000078,No,-8,-8,6,0,0,-8,17,-8,0,5,0,1,-8,17,23,23,5,2,1,-8,-8,0,1,1
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,79,Appomattox Primary,510024000079,No,-8,-8,9,0,2,-8,13,-8,-8,4,0,5,-8,6,24,15,2,3,-8,-8,0,0,1,3
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,13,Randolph Elementary,510027000013,No,0,1,2,3,1,0,2,0,1,0,9,0,-8,1,9,11,2,2,-8,1,6,7,0,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,81,Abingdon Elementary,510027000081,No,0,1,2,14,2,-8,3,1,1,2,8,0,-8,2,22,14,6,1,-8,1,15,6,1,3
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,82,Ashlawn Elementary,510027000082,No,0,4,1,2,0,0,5,0,0,1,6,0,-8,2,12,9,2,3,-8,-8,4,6,0,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,83,Barcroft Elementary,510027000083,No,-8,0,4,6,1,0,0,-8,2,1,6,0,-8,3,11,12,7,3,1,1,7,8,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,84,Barrett Elementary,510027000084,No,-8,0,4,3,1,-8,3,0,1,0,12,0,-8,0,11,13,8,3,-8,1,2,12,0,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,87,Drew Model Elementary,510027000087,No,0,0,5,10,0,-8,6,1,1,8,4,1,-8,1,21,16,5,0,-8,-8,10,4,1,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,90,Francis Scott Key Elementary,510027000090,No,0,2,1,8,0,-8,2,1,1,1,4,2,-8,1,13,10,6,1,-8,-8,4,2,-8,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,92,Glebe Elementary,510027000092,No,-8,2,2,0,1,-8,12,-8,6,4,3,0,-8,6,17,19,4,4,1,-8,4,4,1,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,93,Carlin Springs Elementary,510027000093,No,0,3,5,31,1,-8,1,1,1,3,21,1,-8,3,41,30,9,6,1,-8,26,21,2,3
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,94,Henry Elementary,510027000094,No,0,2,2,4,0,-8,5,-8,1,0,2,1,0,6,13,10,3,1,-8,-8,2,3,2,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,97,Jamestown Elementary,510027000097,No,-8,0,0,0,0,-8,4,-8,0,0,0,2,-8,9,4,11,2,3,1,-8,0,0,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,98,Jefferson Middle,510027000098,No,-8,8,4,18,1,0,9,0,1,2,14,2,0,12,40,31,15,8,3,2,22,12,4,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,99,Kenmore Middle,510027000099,No,0,1,2,16,0,0,6,-8,3,0,16,0,-8,2,25,21,11,9,-8,2,14,13,0,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,100,Long Branch Elementary,510027000100,No,0,2,0,7,3,-8,5,0,3,6,3,1,-8,6,17,19,6,5,2,-8,10,6,2,5
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,101,McKinley Elementary,510027000101,No,-8,1,1,3,0,0,6,-8,0,0,3,2,-8,5,11,10,4,2,1,1,2,1,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,102,Nottingham Elementary,510027000102,No,-8,0,0,0,0,-8,4,-8,2,0,1,0,-8,3,4,6,3,0,-8,1,0,1,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,103,Oakridge Elementary,510027000103,No,0,3,3,4,1,-8,18,0,8,4,5,2,-8,13,29,32,5,0,-8,-8,14,12,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,104,Arlington Traditional,510027000104,No,-8,4,1,3,1,-8,3,0,4,0,2,0,-8,2,12,8,0,1,1,1,7,4,-8,2
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,107,Swanson Middle,510027000107,No,0,2,2,4,2,-8,15,-8,0,1,4,1,-8,14,25,20,11,5,2,4,5,2,1,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,108,Taylor Elementary,510027000108,No,-8,1,0,0,0,-8,6,0,0,0,0,0,-8,3,7,3,3,0,-8,-8,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,110,Tuckahoe Elementary,510027000110,No,-8,1,0,0,0,-8,5,-8,1,0,0,1,-8,4,6,6,1,1,1,1,0,0,-8,-8
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,111,Wakefield High,510027000111,No,1,18,25,107,5,0,30,0,16,35,84,9,1,16,186,161,42,34,5,5,103,71,2,4
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,112,Washington-Lee High,510027000112,No,0,13,16,80,5,0,29,0,13,8,45,6,-8,38,143,110,40,20,8,15,70,35,5,1
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,113,Williamsburg Middle,510027000113,No,0,2,3,6,2,1,25,0,2,2,2,1,0,15,39,22,8,7,1,1,5,5,-8,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,115,Yorktown High,510027000115,No,0,3,9,33,8,-8,42,0,9,7,22,4,0,67,95,109,39,31,9,16,16,21,4,2
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,752,Gunston Middle,510027000752,No,0,0,6,5,2,-8,7,0,0,6,10,1,0,8,20,25,6,6,1,3,9,10,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,1067,Arlington Science Focus School,510027001067,No,0,1,0,1,0,-8,7,0,2,0,1,0,-8,1,9,4,1,0,-8,1,1,2,0,-8
