LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
TX,Texas,4800109,East Texas Charter Schools,8220,Dan Chadwick Campus,480010908220,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,13,16,0,1,0,1,0,0,6,3,56,38,3,3,78,62,0,0,16,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,4,1,0,1,8,5,0,0,2,1,0,1,0,0,0,0,1,0,12,4,1,1,16,7,0,0
TX,Texas,4800113,Amigos Por Vida-Friends For Life Pub Chtr Sch,8237,Amigos Por Vida-Friends For Life Charter School,480011308237,No,21,23,0,0,0,0,0,0,0,0,0,0,0,0,21,23,21,23,3,0,239,258,0,0,0,1,0,0,2,1,0,0,1,0,242,260,218,225,4,0,19,11,216,225,0,0,0,0,0,0,2,0,0,0,0,0,218,225,204,219,0,0,0,0,0,0,2,0,0,0,0,0,206,219,19,11,0,0,0,0,0,0,0,0,0,0,0,0,19,11,18,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
TX,Texas,4800115,Houston Heights High School,8239,Houston Heights Charter School,480011508239,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,67,58,0,0,0,0,0,0,24,11,7,5,1,3,99,77,0,0,0,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,5,1,1,1,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TX,Texas,4800118,Houston Gateway Academy Inc,8242,Houston Gateway Academy,480011808242,No,44,39,0,0,0,0,0,0,2,0,0,0,0,0,46,39,38,28,2,0,318,307,0,1,0,0,0,0,11,8,0,1,0,0,329,317,240,238,15,6,23,10,240,237,0,0,0,0,0,0,0,0,0,1,0,0,240,238,91,85,0,0,0,0,0,0,0,0,0,1,0,0,91,86,23,10,0,0,0,0,0,0,0,0,0,0,0,0,23,10,18,9,14,6,0,0,0,0,0,0,1,0,0,0,0,0,15,6,12,5
TX,Texas,4800118,Houston Gateway Academy Inc,12310,Houston Gateway Academy - Coral Campus,480011812310,No,35,36,0,1,0,0,0,0,1,0,0,0,0,0,36,37,25,29,0,0,430,474,0,1,1,0,0,0,2,2,3,6,0,1,436,484,222,274,11,6,22,11,222,272,0,0,0,0,0,0,0,0,0,2,0,0,222,274,58,66,0,0,0,0,0,0,0,0,0,0,0,0,58,66,22,11,0,0,0,0,0,0,0,0,0,0,0,0,22,11,9,5,11,6,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,1
TX,Texas,4800118,Houston Gateway Academy Inc,12767,Houston Gateway Academy Inc Elite College Prep,480011812767,No,34,36,0,0,0,1,0,0,3,5,0,0,0,0,37,42,9,13,0,0,310,328,0,0,0,4,0,0,9,12,0,2,0,0,319,346,184,186,3,0,18,10,184,180,0,0,0,4,0,0,0,0,0,2,0,0,184,186,62,50,0,0,0,2,0,0,0,0,0,0,0,0,62,52,18,8,0,0,0,0,0,0,0,1,0,1,0,0,18,10,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
TX,Texas,4800124,Calvin Nelms Charter Schools,8248,Calvin Nelms H S,480012408248,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,47,60,0,0,1,3,0,0,11,9,19,11,2,2,80,85,3,3,3,3,10,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,5,3,0,0,0,0,0,0,1,0,4,0,0,0,10,3,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,3,3,1,0
TX,Texas,4800124,Calvin Nelms Charter Schools,9258,Calvin Nelms Middle,480012409258,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,47,39,0,0,4,1,0,0,12,16,10,2,3,1,76,59,9,5,2,1,3,5,8,4,0,0,0,0,0,0,1,1,0,0,0,0,9,5,7,4,0,0,0,0,0,0,1,1,0,0,0,0,8,5,3,3,0,0,0,0,0,0,0,2,0,0,0,0,3,5,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1
TX,Texas,4800125,Southwest School,8249,Empowerment H S,480012508249,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,187,145,0,0,0,1,0,0,6,7,2,3,1,1,196,157,133,105,0,1,28,12,133,102,0,0,0,1,0,0,0,0,0,2,0,0,133,105,133,99,0,0,0,1,0,0,0,0,0,2,0,0,133,102,25,11,0,0,0,0,0,0,0,1,2,0,1,0,28,12,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TX,Texas,4800125,Southwest School,8252,Phoenix School At Southwest Schools,480012508252,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,15,0,2,0,1,0,0,8,11,37,32,1,4,55,65,2,3,7,7,17,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,0,1,0,0,0,0,1,3,12,3,1,0,17,12,2,1,2,0,0,0,0,0,0,0,0,0,5,6,0,1,7,7,0,0
