LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
TX,TEXAS,4800010,HAYS CISD,13567,MOE AND GENE JOHNSON H S,480001013567,-8,1,9,209,4,-8,61,-8,2,5,162,5,1,50,509,60,31,56,29,62,38,14,12
TX,TEXAS,4800010,HAYS CISD,13599,UHLAND EL,480001013599,1,-8,-8,124,1,-8,4,1,-8,1,124,-8,-8,1,257,44,21,10,10,81,79,2,3
TX,TEXAS,4800011,ALVARADO ISD,128,ALVARADO H S,480001100128,1,-8,3,46,2,-8,38,1,-8,6,33,1,-8,29,160,17,6,4,8,16,9,2,2
TX,TEXAS,4800011,ALVARADO ISD,129,ALVARADO J H,480001100129,-8,-8,1,14,1,-8,19,-8,-8,-8,14,1,-8,20,70,4,2,10,1,7,2,2,-8
TX,TEXAS,4800011,ALVARADO ISD,130,ALVARADO EL-SOUTH,480001100130,-8,-8,1,11,-8,-8,7,-8,-8,2,14,1,-8,6,42,3,1,-8,1,6,6,-8,1
TX,TEXAS,4800011,ALVARADO ISD,3090,LILLIAN EL,480001103090,-8,-8,-8,10,2,-8,5,-8,-8,-8,6,1,-8,4,28,4,-8,1,-8,4,3,-8,-8
TX,TEXAS,4800011,ALVARADO ISD,6201,ALVARADO EL-NORTH,480001106201,-8,-8,-8,10,2,-8,8,-8,-8,1,9,-8,-8,7,37,8,2,2,1,4,3,-8,-8
TX,TEXAS,4800011,ALVARADO ISD,7367,ALVARADO INT,480001107367,2,-8,1,15,5,-8,36,1,-8,1,15,3,-8,24,103,12,5,14,8,3,7,3,1
TX,TEXAS,4800012,CHISUM ISD,1430,CHISUM EL,480001201430,-8,-8,2,3,-8,-8,10,-8,-8,4,1,1,-8,12,33,2,3,1,2,4,1,-8,-8
TX,TEXAS,4800012,CHISUM ISD,1431,CHISUM H S,480001201431,-8,-8,6,4,1,-8,37,1,-8,2,3,2,-8,21,77,5,5,11,2,-8,-8,2,1
