LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
TX,TEXAS,4800012,CHISUM ISD,1431,CHISUM H S,480001201431,No,-8,-8,1,-8,-8,-8,9,-8,-8,1,4,-8,-8,14,10,19,-8,6,-8,-8,-8,-8,3,4
TX,TEXAS,4800012,CHISUM ISD,4908,CHISUM MIDDLE,480001204908,No,-8,-8,2,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,6,6,6,3,1,-8,-8,-8,-8,-8,2
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,7174,GEORGE GERVIN ACADEMY,480001407174,No,-8,-8,28,25,4,-8,2,-8,-8,51,30,5,-8,3,59,89,9,10,-8,-8,2,3,-8,5
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,10415,RUTH JONES MCCLENDON MIDDLE,480001410415,No,-8,-8,5,4,2,-8,-8,-8,-8,5,13,2,-8,-8,11,20,3,3,-8,-8,-8,1,-8,1
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7239,DALLAS CAN ACADEMY CHARTER,480001607239,No,13,-8,97,134,18,1,37,4,-8,123,112,21,1,39,300,300,29,16,-8,-8,66,58,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7847,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,480001607847,No,1,-8,22,59,1,-8,-8,-8,-8,22,36,-8,-8,2,83,60,10,4,-8,-8,15,5,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7910,HOUSTON CAN ACADEMY - NORTH,480001607910,No,5,2,77,76,13,1,25,6,2,94,43,15,-8,16,199,176,21,6,-8,-8,17,2,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8434,SAN ANTONIO CAN ACADEMY,480001608434,No,4,1,6,88,19,-8,76,7,1,8,99,13,-8,91,194,219,19,11,-8,-8,16,17,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8908,FORT WORTH CAN ACADEMY WESTCREEK,480001608908,No,-8,1,71,59,10,1,28,1,-8,59,38,8,-8,33,170,139,7,4,-8,-8,4,5,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9028,FORT WORTH CAN ACADEMY LANCASTER AVENUE,480001609028,No,1,1,74,160,5,1,14,1,-8,105,128,11,-8,27,256,272,7,13,-8,-8,36,36,1,1
