LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
TX,Texas,4800010,Hays Cisd,12146,Ralph Pfluger El,480001012146,No,Yes,9,4,0,0,1,0,0,0,0,3,5,9,0,0,15,16,0,0,1,1
TX,Texas,4800010,Hays Cisd,13113,Dr T C Mccormick Jr Middle,480001013113,No,Yes,27,15,0,0,1,1,0,0,0,1,8,5,2,0,38,22,4,0,1,0
TX,Texas,4800010,Hays Cisd,13567,Moe And Gene Johnson H S,480001013567,No,Yes,44,35,0,0,2,3,0,0,1,1,42,44,2,2,91,85,0,0,2,2
TX,Texas,4800010,Hays Cisd,13599,Uhland El,480001013599,No,Yes,12,12,0,0,0,0,0,0,0,0,1,0,0,0,13,12,9,10,3,1
TX,Texas,4800011,Alvarado Isd,128,Alvarado H S,480001100128,No,Yes,12,12,0,0,0,0,0,0,1,1,25,41,3,5,41,59,0,2,0,0
TX,Texas,4800011,Alvarado Isd,129,Alvarado J H,480001100129,No,Yes,10,4,0,0,0,0,0,0,0,0,20,17,2,2,32,23,1,0,2,0
TX,Texas,4800011,Alvarado Isd,130,Alvarado El-South,480001100130,No,Yes,2,2,0,0,0,0,0,0,0,0,2,2,0,0,4,4,2,2,0,0
TX,Texas,4800011,Alvarado Isd,3090,Lillian El,480001103090,No,Yes,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0
TX,Texas,4800011,Alvarado Isd,6201,Alvarado El-North,480001106201,No,Yes,0,1,0,0,0,0,0,0,0,0,8,1,0,0,8,2,0,0,0,0
TX,Texas,4800011,Alvarado Isd,7367,Alvarado Int,480001107367,No,Yes,10,7,0,0,0,1,0,0,0,0,28,18,2,0,40,26,2,1,0,0
