state,category,dataset_title,resource_name,format,url,description
virginia,enrollment,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2020",Fiscal Year 2020,XLSX,https://data.virginia.gov/dataset/8cfdb0a3-43a2-4ece-a5a9-8044f9e77a08/resource/2d2381ab-2a0d-4df1-b607-618dd3ac9330/download/table-18-fy20.xlsx,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2020 — Fiscal Year 2020"
virginia,other,School-Age Population Estimates- Town Estimates,School-Age Population Estimates- Town Estimates ,XLSX,https://data.virginia.gov/dataset/a5765968-9339-4c70-a750-b1bf97ce7b0a/resource/82b19d63-bfd6-4d7a-8c4c-8617be6171a3/download/scape_townestimates_july-1-2024_uvacooperctr.xlsx,School-Age Population Estimates- Town Estimates — School-Age Population Estimates- Town Estimates 
virginia,other,Local and Regional Schools and Centers 2006-07,Local and Regional Schools and Centers 2006-07,PDF,https://data.virginia.gov/dataset/6fd2eb39-8d27-49ca-9bc5-7b2c019771cc/resource/7047f701-0bde-4d93-bcb8-999e060cea80/download/2006_07_local_reg_sch_ctrs_a.pdf,Local and Regional Schools and Centers 2006-07 — Local and Regional Schools and Centers 2006-07
virginia,other,2015-2016 Gifted Annual Report,2015-2016 Gifted Annual Report,PDF,https://data.virginia.gov/dataset/90678f50-dc00-43ff-b5d2-330c265a0610/resource/ad880d0f-8e77-4375-b2f8-a166e1ec4448/download/2015-2016_gifted.pdf,2015-2016 Gifted Annual Report — 2015-2016 Gifted Annual Report
virginia,enrollment,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2023",Fiscal Year 2023,XLSX,https://data.virginia.gov/dataset/60f5d1c9-2e79-43d3-a713-7ed6a4d7f5c4/resource/3a816a80-bcd2-4b21-9152-b10444f93d5d/download/2022-2023-superintendents-annual-report-table-18.xlsx,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2023 — Fiscal Year 2023"
virginia,test_scores,"Report of LIMITED ENGLISH PROFICIENT (LEP) STUDENTS Receiving Services, as of September 30, 1998","Report of LEP Students Receiving Services as of Sept.\ 30, 1998",XLSX,https://data.virginia.gov/dataset/d8ab63e5-e7ec-4580-8ec4-7bb02066d78d/resource/46396e62-ba97-4c8e-aff7-07b92407c9d4/download/lep-98.xlsx,"Report of LIMITED ENGLISH PROFICIENT (LEP) STUDENTS Receiving Services, as of September 30, 1998 — Report of LEP Students Receiving Services as of Sept.\ 30, 1998"
virginia,other,2019-2020 Gifted Annual Report,2019-2020 Gifted Annual Report ,PDF,https://data.virginia.gov/dataset/0b94b5f2-ea7c-4c18-8328-5bf8f7316632/resource/78edd6b1-69ff-4b69-8544-5079ac54edb8/download/2019-2020-annual-report.pdf,2019-2020 Gifted Annual Report — 2019-2020 Gifted Annual Report 
virginia,test_scores,State Participation Rates,State_Participation_Rates_2020-2023,CSV,https://data.virginia.gov/dataset/46d95ddc-8553-46b8-98d4-061a7cb9fcb9/resource/3ea73f4b-d878-4005-bdf7-ba6a13de3fb3/download/state_participation_rates_2020-2023.xlsx,State Participation Rates — State_Participation_Rates_2020-2023
virginia,enrollment,Gifted Programs 2019 - 2020,Gifted programs 2019 - 2020,PDF,https://data.virginia.gov/dataset/64ad5bcb-42ad-4c76-bf32-40d6c43555ea/resource/60b76d03-5302-4e64-9a20-8c6db6f40a5b/download/20192020annualreport.pdf,Gifted Programs 2019 - 2020 — Gifted programs 2019 - 2020
virginia,enrollment,2001-2002 Gifted Annual Report by Membership,2002 Gifted Annual Report by Membership,PDF,https://data.virginia.gov/dataset/ff7cd8f5-3f71-43fe-b451-01db37aadfe9/resource/7cee8057-62a2-41ff-b4c5-17646f554303/download/2002_gifted_membership.pdf,2001-2002 Gifted Annual Report by Membership — 2002 Gifted Annual Report by Membership
virginia,enrollment,Fall membership statistics 2020 - 2021,Fall membership statistics 2020 - 2021,CSV,https://data.virginia.gov/dataset/28f58438-198c-4618-9a10-64504b847e25/resource/dafe9fa4-23a3-4c82-8ff9-50e915043798/download/fall_membership_statistics-5.csv,Fall membership statistics 2020 - 2021 — Fall membership statistics 2020 - 2021
virginia,enrollment,"Number of Days Taught, ADA, ADM 2021 - 2022","Number of Days Taught, ADA, ADM 2021 - 2022",XLSX,https://data.virginia.gov/dataset/e17206f7-377c-4861-b639-4e13c0536082/resource/032d7815-7c1f-4409-9aae-6120e43066d9/download/2021-2022-table-8.xlsx,"Number of Days Taught, ADA, ADM 2021 - 2022 — Number of Days Taught, ADA, ADM 2021 - 2022"
virginia,enrollment,Total Instructional Positions and Average Annual Salaries - 2021,Total Instructional Positions and Average Annual Salaries - 2021,XLSX,https://data.virginia.gov/dataset/155a0349-31c1-4900-9bfe-87ff969e3d9a/resource/c9772780-e52e-47a9-bc2d-2e67c5709708/download/table19-fy21.xlsx,Total Instructional Positions and Average Annual Salaries - 2021 — Total Instructional Positions and Average Annual Salaries - 2021
virginia,other,Local and Regional Schools and Centers 2010-11,Local and Regional Schools and Centers 2010-11 ,PDF,https://data.virginia.gov/dataset/878f7e59-dc31-43c4-ae51-a8208ef52c86/resource/33d28f4f-2b65-4c64-9c49-9412cd86a3ae/download/2010_11_local_reg_sch_ctrs_a.pdf,Local and Regional Schools and Centers 2010-11 — Local and Regional Schools and Centers 2010-11 
virginia,enrollment,Total Instructional Positions and Average Annual Salaries - 2020,Total Instructional Positions and Average Annual Salaries - 2020,XLSX,https://data.virginia.gov/dataset/25bb8f6e-2b39-46b3-8e3d-29537d8b6421/resource/a107a792-bb49-41c1-91a6-875a579d6228/download/table19-fy20.xlsx,Total Instructional Positions and Average Annual Salaries - 2020 — Total Instructional Positions and Average Annual Salaries - 2020
virginia,enrollment,Chronic Absenteeism in VA schools for year 2021 - 2022,absenteeism school 2021,XLSX,https://data.virginia.gov/dataset/0ae4df98-afdd-4636-9928-13ea28d122f0/resource/0cdbd673-e9af-4efa-a169-943e27626f0e/download/chronic-absenteeism-school-2021.xlsx,Chronic Absenteeism in VA schools for year 2021 - 2022 — absenteeism school 2021
