url,category,description,source,dataset_title,format
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-race_reported.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of race - reported,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-sex_disciplined.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of sex - disciplined,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-sex_reported.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of sex - reported,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Physics.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Physics,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Chemistry.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Chemistry,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Biology.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Biology,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Advanced-Mathematics.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Advanced mathematics,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Algebra-II.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Algebra II,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Geometry-in-High-School.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Geometry in high school,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Geometry-in-Grade-8.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Geometry Grade 8,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Algebra-I_Grades-11-12.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Algebra I Grades 11-12,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Algebra-I_Grades-9-10.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Algebra I Grades 9-10,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Algebra-I_Grade-8.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Algebra I Grade 8,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Enrollment-in-Algebra-I_Grade-7.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Algebra I Grade 7,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/High-Schools-Offering-Science-Classes.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — High schools offering science courses,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/High-Schools-Offering-Mathematics-Classes.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — High schools offering mathematics courses,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Mathematics-and-Science/Middle-Schools-Offering-Mathematics-Classes.xlsx,enrollment,CRDC: 2017-18 Mathematics and Science Civil Rights Data Collection — Middle schools offering mathematics courses,CRDC,2017-18 Mathematics and Science Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-not-served-under-IDEA_phys.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Physical restraint Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-not-served-under-IDEA_seclusion.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Seclusion Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-served-under-IDEA_seclusion.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Seclusion IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
