LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
CO,Colorado,0800020,State Charter School Institute,1998,Academy Of Arts And Knowledge Elementary,080002001998,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,18,15,0,0,3,1,0,1,6,3,65,63,4,8,96,91,3,2,2,0,12,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,3,0,4,5,1,0,12,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
CO,Colorado,0800020,State Charter School Institute,2018,Stone Creek School,080002002018,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,45,34,0,0,1,3,0,0,1,0,115,103,2,5,164,145,30,24,7,4,38,15,29,18,0,0,0,2,0,0,0,0,1,4,0,0,30,24,29,18,0,0,0,2,0,0,0,0,1,3,0,0,30,23,15,5,0,0,0,1,0,0,0,0,23,8,0,1,38,15,10,3,2,0,0,0,0,0,0,0,1,0,4,4,0,0,7,4,1,0
CO,Colorado,0800020,State Charter School Institute,2033,High Point Academy,080002002033,No,5,5,0,0,1,0,0,0,9,10,5,10,0,0,20,25,10,11,2,1,151,160,10,1,17,14,2,0,122,112,55,66,1,0,358,353,76,77,6,7,42,12,52,53,1,0,8,9,0,0,11,13,4,2,0,0,76,77,46,47,1,0,8,8,0,0,11,13,3,2,0,0,69,70,22,5,0,0,1,1,1,0,14,2,4,4,0,0,42,12,17,3,3,2,0,0,0,0,0,0,1,3,2,2,0,0,6,7,0,1
CO,Colorado,0800020,State Charter School Institute,6305,Caprock Academy,080002006305,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,51,67,1,0,8,9,0,1,2,3,357,356,19,21,438,457,9,8,35,15,44,25,4,6,0,0,4,0,0,0,0,1,1,1,0,0,9,8,4,6,0,0,4,0,0,0,0,1,1,1,0,0,9,8,8,4,0,0,0,0,0,0,0,0,35,18,1,3,44,25,2,0,1,0,0,0,0,0,0,0,0,0,32,15,2,0,35,15,0,0
CO,Colorado,0800020,State Charter School Institute,6310,Colorado Springs Early Colleges,080002006310,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,59,68,0,4,7,12,0,1,14,11,166,165,19,26,265,287,18,6,23,24,14,3,15,6,0,0,2,0,0,0,1,0,0,0,0,0,18,6,15,6,0,0,2,0,0,0,1,0,0,0,0,0,18,6,8,2,0,0,0,0,0,0,1,0,3,1,2,0,14,3,5,0,4,2,0,1,1,0,0,0,1,1,15,16,2,4,23,24,1,0
CO,Colorado,0800020,State Charter School Institute,6320,Ricardo Flores Magon Academy,080002006320,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,123,123,0,0,0,0,0,0,2,3,3,8,0,0,128,134,95,86,1,0,15,9,95,82,0,0,0,0,0,0,0,0,0,4,0,0,95,86,88,74,0,0,0,0,0,0,0,0,0,4,0,0,88,78,14,9,0,0,0,0,0,0,0,0,1,0,0,0,15,9,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,Colorado,0800020,State Charter School Institute,6390,Early College Of Arvada,080002006390,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,88,95,0,1,10,8,0,2,2,2,35,39,1,0,136,147,57,48,6,1,15,14,46,41,0,0,6,2,0,0,1,1,4,4,0,0,57,48,46,41,0,0,6,1,0,0,1,1,4,4,0,0,57,47,8,8,0,0,2,1,0,0,0,0,4,5,1,0,15,14,9,6,4,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,2,0
CO,Colorado,0800020,State Charter School Institute,6418,Animas High School,080002006418,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,11,14,4,1,2,0,1,0,0,0,82,75,5,3,105,93,0,0,14,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,0,0,13,2,0,0,1,2,2,0,0,0,0,0,0,0,11,7,0,0,14,9,0,0
CO,Colorado,0800020,State Charter School Institute,6437,Thomas Maclaren State Charter School,080002006437,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,94,108,1,2,9,12,0,0,5,5,303,302,37,34,449,463,19,26,19,10,32,23,10,11,0,1,2,4,0,0,1,0,4,10,2,0,19,26,10,11,0,1,2,4,0,0,1,0,4,10,1,0,18,26,8,9,1,0,1,1,0,0,1,0,20,13,1,0,32,23,4,1,6,3,0,0,1,0,0,0,0,0,11,6,1,1,19,10,1,1
CO,Colorado,0800020,State Charter School Institute,6502,Mountain Middle School,080002006502,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,15,14,0,2,1,1,1,0,3,0,112,103,1,2,133,122,1,2,16,6,7,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,5,7,0,0,7,8,1,0,3,0,0,0,0,0,0,0,0,0,13,6,0,0,16,6,0,0
