School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2020-2021,43,Henrico County ,190,Highland Springs High,              83
2020-2021,43,Henrico County ,95,Holman Middle ,               2
2020-2021,43,Henrico County ,100,Hungary Creek Middle ,               1
2020-2021,43,Henrico County ,600,John Randolph Tucker High,              75
2020-2021,43,Henrico County ,130,John Rolfe Middle,               3
2020-2021,43,Henrico County ,250,L. Douglas Wilder Middle,               6
2020-2021,43,Henrico County ,140,Mills E. Godwin High,              17
2020-2021,43,Henrico County ,280,Pocahontas Middle,               2
2020-2021,43,Henrico County ,690,Quioccasin Middle School,               7
2020-2021,43,Henrico County ,80,Short Pump Middle,               3
2020-2021,43,Henrico County ,520,Tuckahoe Middle,               4
2020-2021,43,Henrico County ,580,Varina High,              41
2020-2021,44,Henry County ,10,Bassett High,               7
2020-2021,44,Henry County ,620,Fieldale-Collinsville Middle ,               2
2020-2021,44,Henry County ,20,Magna Vista High,              20
2020-2021,114,Hopewell City ,110,Carter G. Woodson Middle,               1
2020-2021,114,Hopewell City ,120,Hopewell High,              57
2020-2021,46,Isle of Wight County ,422,Georgie D. Tyler Middle,               4
2020-2021,46,Isle of Wight County ,40,Smithfield High,               8
2020-2021,46,Isle of Wight County ,50,Smithfield Middle,               2
2020-2021,46,Isle of Wight County ,250,Windsor High,               6
2020-2021,48,King George County ,120,King George High,              34
2020-2021,48,King George County ,10,King George Middle,               2
2020-2021,50,King William County ,160,Hamilton Holmes Middle,               2
2020-2021,50,King William County ,130,King William High,              11
2020-2021,49,King and Queen County ,280,Central High,               1
2020-2021,49,King and Queen County ,200,King & Queen Elementary,               1
2020-2021,51,Lancaster County ,10,Lancaster High,               9
2020-2021,52,Lee County ,470,Jonesville Middle,               1
2020-2021,52,Lee County ,300,Lee High,              18
2020-2021,137,Lexington City ,1440,Lylburn Downing Middle,               5
2020-2021,53,Loudoun County ,940,Belmont Ridge Middle,               1
2020-2021,53,Loudoun County ,1120,Brambleton Middle,               1
2020-2021,53,Loudoun County ,420,Briar Woods High ,               1
2020-2021,53,Loudoun County ,740,Broad Run High,              15
2020-2021,53,Loudoun County ,31,Dominion High,              10
2020-2021,53,Loudoun County ,120,Freedom High ,               4
2020-2021,53,Loudoun County ,900,Heritage High,               7
2020-2021,53,Loudoun County ,370,John Champe High School,               1
2020-2021,53,Loudoun County ,660,Loudoun County High,              11
2020-2021,53,Loudoun County ,680,Loudoun Valley High,               1
2020-2021,53,Loudoun County ,60,Park View High,              37
2020-2021,53,Loudoun County ,140,Potomac Falls High,              14
2020-2021,53,Loudoun County ,1050,Riverside High,               2
2020-2021,53,Loudoun County ,1060,Rock Ridge High,               3
2020-2021,53,Loudoun County ,90,Smart's Mill Middle ,               3
2020-2021,53,Loudoun County ,760,Sterling Middle,               1
2020-2021,53,Loudoun County ,850,Stone Bridge High,               2
2020-2021,53,Loudoun County ,570,Stone Hill Middle,               1
2020-2021,53,Loudoun County ,200,Tuscarora High,              29
2020-2021,53,Loudoun County ,590,Woodgrove High,               6
2020-2021,54,Louisa County ,602,Louisa County High,              22
2020-2021,54,Louisa County ,601,Louisa County Middle,               4
2020-2021,55,Lunenburg County ,560,Central High,               6
2020-2021,115,Lynchburg City ,260,E.C. Glass High ,              27
2020-2021,115,Lynchburg City ,130,Heritage High,              32
2020-2021,115,Lynchburg City ,350,Linkhorne Middle,               2
2020-2021,115,Lynchburg City ,170,Paul Laurence Dunbar Middle for Innovation ,               3
2020-2021,115,Lynchburg City ,340,Sandusky Middle,               2
2020-2021,56,Madison County ,221,Madison County High,               1
2020-2021,143,Manassas City ,70,Grace E. Metz Middle ,              12
2020-2021,143,Manassas City ,370,Osbourn High,              50
2020-2021,144,Manassas Park City ,30,Manassas Park High,              36
2020-2021,144,Manassas Park City ,31,Manassas Park Middle,               5
2020-2021,116,Martinsville City ,110,Martinsville High,              10
2020-2021,57,Mathews County ,190,Mathews High,               9
2020-2021,57,Mathews County ,100,Thomas Hunter Middle,               1
2020-2021,58,Mecklenburg County ,980,Bluestone  High,               8
2020-2021,58,Mecklenburg County ,960,Bluestone Middle,               1
2020-2021,58,Mecklenburg County ,990,Park View High,              18
2020-2021,58,Mecklenburg County ,950,Park View Middle,               2
2020-2021,59,Middlesex County ,90,Middlesex High,               1
2020-2021,60,Montgomery County ,650,Auburn High,               4
2020-2021,60,Montgomery County ,760,Blacksburg High,              11
2020-2021,60,Montgomery County ,770,Christiansburg High,              20
2020-2021,60,Montgomery County ,671,Christiansburg Middle,               5
2020-2021,60,Montgomery County ,904,Eastern Montgomery High,               9
2020-2021,62,Nelson County ,710,Nelson County High,               7
2020-2021,63,New Kent County ,20,New Kent High ,               1
2020-2021,63,New Kent County ,100,New Kent Middle ,               1
2020-2021,117,Newport News City ,1393,Crittenden Middle,               3
2020-2021,117,Newport News City ,280,Denbigh High,              23
2020-2021,117,Newport News City ,1260,Ethel M. Gildersleeve Middle,               7
2020-2021,117,Newport News City ,1395,Heritage High,              27
2020-2021,117,Newport News City ,1270,Homer L. Hines Middle,              10
2020-2021,117,Newport News City ,20,J.M. Dozier Middle ,               7
2020-2021,117,Newport News City ,1400,Mary Passage Middle,               7
2020-2021,117,Newport News City ,1220,Menchville High,              32
2020-2021,117,Newport News City ,1070,Warwick High,              30
2020-2021,117,Newport News City ,1396,Woodside High,              12
2020-2021,118,Norfolk City ,760,Azalea Gardens Middle,               9
2020-2021,118,Norfolk City ,20,Blair Middle,               1
2020-2021,118,Norfolk City ,880,Booker T Washington High,              24
2020-2021,118,Norfolk City ,390,Granby High,              92
2020-2021,118,Norfolk City ,790,Lake Taylor,               3
2020-2021,118,Norfolk City ,840,Lake Taylor High ,              41
2020-2021,118,Norfolk City ,10,Matthew Fontaine Maury High,              46
2020-2021,118,Norfolk City ,490,Northside Middle,              11
2020-2021,118,Norfolk City ,580,Norview High,              53
2020-2021,118,Norfolk City ,570,Norview Middle,               8
2020-2021,118,Norfolk City ,770,Southside STEM Academy at Campostella ,               3
2020-2021,118,Norfolk City ,30,William H. Ruffner Middle,               5
2020-2021,65,Northampton County ,350,Northampton High,              11
2020-2021,66,Northumberland County ,40,Northumberland High,               2
2020-2021,119,Norton City ,20,J.I. Burton High ,               4
2020-2021,67,Nottoway County ,301,Nottoway High,              15
2020-2021,67,Nottoway County ,302,Nottoway Middle,               2
2020-2021,68,Orange County ,330,Orange County High ,               9
2020-2021,69,Page County ,110,Luray High,               3
2020-2021,69,Page County ,380,Page County High,               1
2020-2021,70,Patrick County ,350,Hardin Reynolds Elementary,               1
2020-2021,70,Patrick County ,700,Patrick County High,               9
2020-2021,120,Petersburg City ,200,Petersburg High,              27
2020-2021,120,Petersburg City ,121,Vernon Johns Middle,               5
2020-2021,71,Pittsylvania County ,1720,Chatham High,               8
2020-2021,71,Pittsylvania County ,1680,Dan River High,               6
2020-2021,71,Pittsylvania County ,1090,Dan River Middle,               1
2020-2021,71,Pittsylvania County ,1700,Gretna High,               6
2020-2021,71,Pittsylvania County ,290,Gretna Middle,               3
2020-2021,71,Pittsylvania County ,1730,Tunstall High,              10
2020-2021,142,Poquoson City ,10,Poquoson High,               4
2020-2021,142,Poquoson City ,130,Poquoson Middle,               3
2020-2021,121,Portsmouth City ,500,Churchland High,              19
2020-2021,121,Portsmouth City ,320,Churchland Middle,               7
2020-2021,121,Portsmouth City ,1130,Cradock Middle,               5
2020-2021,121,Portsmouth City ,240,I.C. Norcom High,              16
2020-2021,121,Portsmouth City ,310,William E. Waters Middle,               6
2020-2021,121,Portsmouth City ,1660,Woodrow Wilson High,              50
2020-2021,72,Powhatan County ,11,Powhatan High,               5
2020-2021,73,Prince Edward County ,400,Prince Edward County High,              26
2020-2021,73,Prince Edward County ,20,Prince Edward Middle,               2
2020-2021,74,Prince George County ,320,J.E.J. Moore Middle ,               6
2020-2021,74,Prince George County ,20,Prince George High,              22
2020-2021,75,Prince William County ,290,Battlefield High ,               8
2020-2021,75,Prince William County ,530,Brentsville District High,               9
2020-2021,75,Prince William County ,920,Bull Run Middle,               2
2020-2021,75,Prince William County ,710,C.D. Hylton High,              16
2020-2021,75,Prince William County ,5010,Charles J. Colgan Sr. High,              10
2020-2021,75,Prince William County ,870,Forest Park High,              33
2020-2021,75,Prince William County ,520,Fred M. Lynn Middle,               1
2020-2021,75,Prince William County ,300,Freedom High ,             115
2020-2021,75,Prince William County ,690,Gar-Field High,              84
2020-2021,75,Prince William County ,640,George M. Hampton Middle,               3
2020-2021,75,Prince William County ,510,Graham Park Middle,               1
2020-2021,75,Prince William County ,380,Herbert J. Saunders Middle,               1
2020-2021,75,Prince William County ,720,Lake Ridge Middle,               1
2020-2021,75,Prince William County ,80,Osbourn Park High,              44
2020-2021,75,Prince William County ,501,Parkside Middle,               1
2020-2021,75,Prince William County ,1060,Patriot High,               7
2020-2021,75,Prince William County ,140,Potomac High,              36
2020-2021,75,Prince William County ,170,Potomac Middle,               6
2020-2021,75,Prince William County ,591,Rippon Middle,               6
2020-2021,75,Prince William County ,780,Stuart M. Beville Middle,               2
2020-2021,75,Prince William County ,150,The Nokesville School,               1
2020-2021,75,Prince William County ,480,Unity Braxton Middle ,               2
2020-2021,75,Prince William County ,680,Unity Reed High,              96
2020-2021,75,Prince William County ,60,Woodbridge High,              59
2020-2021,75,Prince William County ,560,Woodbridge Middle,               1
2020-2021,77,Pulaski County ,10,Pulaski County Senior High,              12
2020-2021,122,Radford City ,41,Radford High,               3
2020-2021,78,Rappahannock County ,230,Rappahannock County High,               5
2020-2021,123,Richmond City ,30,Albert Hill Middle,               1
2020-2021,123,Richmond City ,750,Amelia Street Special Education,               1
2020-2021,123,Richmond City ,850,Armstrong High ,              42
2020-2021,123,Richmond City ,50,Binford Middle,               0
2020-2021,123,Richmond City ,621,Franklin Military Academy,               3
2020-2021,123,Richmond City ,741,George Wythe High,             198
2020-2021,123,Richmond City ,470,Henderson Middle,               6
2020-2021,123,Richmond City ,1510,Huguenot High,              79
2020-2021,123,Richmond City ,730,John Marshall High,              16
2020-2021,123,Richmond City ,3105,Lucille M. Brown Middle,               9
2020-2021,123,Richmond City ,770,Martin Luther King Jr. Middle ,               7
2020-2021,123,Richmond City ,90,Open High,               1
2020-2021,123,Richmond City ,3110,Richmond Alternative School,             109
2020-2021,123,Richmond City ,452,Richmond Community High,               2
2020-2021,123,Richmond City ,1631,River City Middle,              16
2020-2021,123,Richmond City ,480,Thomas C. Boushall Middle,               5
2020-2021,123,Richmond City ,20,Thomas Jefferson High,               9
2020-2021,79,Richmond County ,210,Rappahannock High,               3
2020-2021,124,Roanoke City ,280,Addison Aerospace Magnet Middle,               8
2020-2021,124,Roanoke City ,210,Breckinridge Middle,               1
2020-2021,124,Roanoke City ,450,James Madison Middle,               1
2020-2021,124,Roanoke City ,230,John P. Fishwick Middle,               3
2020-2021,124,Roanoke City ,390,Patrick Henry High,              50
2020-2021,124,Roanoke City ,400,William Fleming High,              81
2020-2021,124,Roanoke City ,150,Woodrow Wilson Middle,               2
2020-2021,80,Roanoke County ,470,Cave Spring High,               9
2020-2021,80,Roanoke County ,620,Cave Spring Middle,               2
2020-2021,80,Roanoke County ,610,Glenvar High,               9
2020-2021,80,Roanoke County ,754,Hidden Valley High,               3
2020-2021,80,Roanoke County ,520,Northside High,              12
2020-2021,80,Roanoke County ,640,Northside Middle,               2
2020-2021,80,Roanoke County ,630,William Byrd High,              14
2020-2021,81,Rockbridge County ,22,Rockbridge County High,              27
2020-2021,82,Rockingham County ,870,Broadway High,              13
2020-2021,82,Rockingham County ,391,East Rockingham High,               8
2020-2021,82,Rockingham County ,960,J. Frank Hillyard Middle,               2
2020-2021,82,Rockingham County ,20,Spotswood High,              11
2020-2021,82,Rockingham County ,850,Turner Ashby High,              10
2020-2021,83,Russell County ,791,Castlewood High,               2
2020-2021,83,Russell County ,540,Honaker High,              10
2020-2021,83,Russell County ,140,Lebanon High,               9
2020-2021,139,Salem City ,70,Salem High,              10
2020-2021,84,Scott County ,770,Gate City High,               8
2020-2021,84,Scott County ,771,Gate City Middle,               2
2020-2021,84,Scott County ,260,Rye Cove High,               3
2020-2021,85,Shenandoah County ,780,Central High,               5
2020-2021,85,Shenandoah County ,40,North Fork Middle,               2
2020-2021,85,Shenandoah County ,30,Peter Muhlenberg Middle,               1
2020-2021,85,Shenandoah County ,50,Signal Knob Middle,               1
2020-2021,85,Shenandoah County ,790,Stonewall Jackson High,               8
2020-2021,85,Shenandoah County ,770,Strasburg High,               1
2020-2021,86,Smyth County ,680,Marion Middle,               1
2020-2021,86,Smyth County ,700,Marion Senior High,               4
2020-2021,86,Smyth County ,120,Northwood Middle,               1
2020-2021,87,Southampton County ,690,Southampton High,              16
2020-2021,87,Southampton County ,700,Southampton Middle,               1
2020-2021,88,Spotsylvania County ,50,Battlefield Middle,               1
2020-2021,88,Spotsylvania County ,381,Chancellor High,              34
2020-2021,88,Spotsylvania County ,382,Chancellor Middle,               2
2020-2021,88,Spotsylvania County ,20,Courtland High,              20
2020-2021,88,Spotsylvania County ,509,Freedom Middle,               1
2020-2021,88,Spotsylvania County ,506,Massaponax High,              51
2020-2021,88,Spotsylvania County ,505,Ni River Middle,               1
2020-2021,88,Spotsylvania County ,220,Post Oak Middle,               5
2020-2021,88,Spotsylvania County ,510,Riverbend High ,              22
2020-2021,88,Spotsylvania County ,370,Spotsylvania High,              37
2020-2021,89,Stafford County ,421,Brooke Point High,              19
2020-2021,89,Stafford County ,424,Colonial Forge High,               9
2020-2021,89,Stafford County ,432,Donald B. Dixon-Lyle R. Smith Middle,               3
2020-2021,89,Stafford County ,10,Edward E. Drew Jr. Middle,               1
2020-2021,89,Stafford County ,422,H.H. Poole Middle,               4
2020-2021,89,Stafford County ,430,Mountain View High ,              10
2020-2021,89,Stafford County ,30,North Stafford High,              33
2020-2021,89,Stafford County ,426,Rodney E. Thompson Middle,               6
2020-2021,89,Stafford County ,440,Shirley C. Heim Middle,               3
2020-2021,89,Stafford County ,112,Stafford Middle,               2
2020-2021,89,Stafford County ,20,Stafford Senior High,              36
2020-2021,89,Stafford County ,162,T. Benton Gayle Middle,               3
2020-2021,126,Staunton City ,30,Staunton High,              25
2020-2021,127,Suffolk City ,397,Colonel Fred Cherry Middle,               3
2020-2021,127,Suffolk City ,370,John F. Kennedy Middle,               2
2020-2021,127,Suffolk City ,380,John Yeates Middle,               1
2020-2021,127,Suffolk City ,395,King's Fork High,              31
2020-2021,127,Suffolk City ,393,King's Fork Middle,               3
2020-2021,127,Suffolk City ,300,Lakeland High,              26
2020-2021,127,Suffolk City ,240,Nansemond River High,              15
2020-2021,90,Surry County ,10,Surry County High,               4
