School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,29,Fairfax County ,900,West Potomac High,              48
2022-2023,29,Fairfax County ,1610,West Springfield High,               6
2022-2023,29,Fairfax County ,2228,Westfield High,              31
2022-2023,29,Fairfax County ,1550,Whitman Middle,               7
2022-2023,29,Fairfax County ,1260,Woodson High,               8
2022-2023,109,Falls Church City ,252,Mary Ellen Henderson Middle,               1
2022-2023,30,Fauquier County ,520,Cedar Lee Middle,               1
2022-2023,30,Fauquier County ,701,Fauquier High,               6
2022-2023,30,Fauquier County ,851,Liberty High,              18
2022-2023,30,Fauquier County ,10,Marshall Middle,               1
2022-2023,31,Floyd County ,660,Floyd County High,               7
2022-2023,32,Fluvanna County ,260,Fluvanna County High,              12
2022-2023,135,Franklin City ,20,Franklin High,              14
2022-2023,135,Franklin City ,561,Joseph P. King Jr. Middle,               2
2022-2023,33,Franklin County ,31,Benjamin Franklin Middle,               2
2022-2023,33,Franklin County ,1311,Franklin County High,              42
2022-2023,34,Frederick County ,460,Frederick County Middle,               1
2022-2023,34,Frederick County ,30,James Wood High,               7
2022-2023,34,Frederick County ,584,Millbrook High,              25
2022-2023,34,Frederick County ,480,Robert E. Aylor Middle,               1
2022-2023,34,Frederick County ,581,Sherando High,              16
2022-2023,110,Fredericksburg City ,40,James Monroe High,              20
2022-2023,110,Fredericksburg City ,273,Walker-Grant Middle,               2
2022-2023,111,Galax City ,31,Galax High,               6
2022-2023,35,Giles County ,10,Eastern Elementary/Middle ,               1
2022-2023,35,Giles County ,461,Giles High,              13
2022-2023,35,Giles County ,390,Macy Mcclaugherty Elementary/Middle,               2
2022-2023,35,Giles County ,400,Narrows Elementary/Middle ,               1
2022-2023,35,Giles County ,470,Narrows High,              11
2022-2023,36,Gloucester County ,260,Gloucester High,              43
2022-2023,36,Gloucester County ,802,Page Middle,               6
2022-2023,36,Gloucester County ,280,Peasley Middle,               1
2022-2023,37,Goochland County ,220,Goochland High,               4
2022-2023,39,Greene County ,72,William Monroe High,              12
2022-2023,40,Greensville County ,190,Edward W. Wyatt Middle,               6
2022-2023,40,Greensville County ,200,Greensville County High,              25
2022-2023,41,Halifax County ,10,Halifax County High,              46
2022-2023,41,Halifax County ,1480,Halifax County Middle,               3
2022-2023,112,Hampton City ,350,Benjamin Syms Middle,               8
2022-2023,112,Hampton City ,430,Bethel High,              14
2022-2023,112,Hampton City ,450,C. Alton Lindsay Middle,               7
2022-2023,112,Hampton City ,300,Cesar Tarrant Middle,               7
2022-2023,112,Hampton City ,70,Francis W. Jones Magnet Middle,               3
2022-2023,112,Hampton City ,650,George P. Phenix Elementary,               1
2022-2023,112,Hampton City ,280,Hampton High,              14
2022-2023,112,Hampton City ,640,Hunter B. Andrews,               3
2022-2023,112,Hampton City ,320,Kecoughtan High,              18
2022-2023,112,Hampton City ,50,Phoebus High,              20
2022-2023,112,Hampton City ,380,Thomas Eaton Middle,               0
2022-2023,42,Hanover County ,62,Atlee High,               4
2022-2023,42,Hanover County ,440,Bell Creek Middle,               1
2022-2023,42,Hanover County ,554,Hanover High,               8
2022-2023,42,Hanover County ,450,Liberty Middle,               1
2022-2023,42,Hanover County ,370,Mechanicsville High,               8
2022-2023,42,Hanover County ,553,Oak Knoll Middle,               0
2022-2023,42,Hanover County ,400,Patrick Henry High,              39
2022-2023,113,Harrisonburg City ,12,Harrisonburg High,              34
2022-2023,113,Harrisonburg City ,111,Skyline Middle,               2
2022-2023,43,Henrico County ,500,Brookland Middle,              18
2022-2023,43,Henrico County ,160,Deep Run High,               3
2022-2023,43,Henrico County ,410,Douglas S. Freeman High,              38
2022-2023,43,Henrico County ,92,Elko Middle,               6
2022-2023,43,Henrico County ,510,Fairfield Middle,               6
2022-2023,43,Henrico County ,390,George H. Moody Middle,               2
2022-2023,43,Henrico County ,96,Glen Allen High,              23
2022-2023,43,Henrico County ,610,Henrico High,              45
2022-2023,43,Henrico County ,83,Henrico Virtual Academy,              15
2022-2023,43,Henrico County ,670,Hermitage High,              58
2022-2023,43,Henrico County ,190,Highland Springs High,              64
2022-2023,43,Henrico County ,95,Holman Middle ,               2
2022-2023,43,Henrico County ,100,Hungary Creek Middle ,               4
2022-2023,43,Henrico County ,600,John Randolph Tucker High,             121
2022-2023,43,Henrico County ,130,John Rolfe Middle,              13
2022-2023,43,Henrico County ,250,L. Douglas Wilder Middle,               7
2022-2023,43,Henrico County ,140,Mills E. Godwin High,              25
2022-2023,43,Henrico County ,280,Pocahontas Middle,               0
2022-2023,43,Henrico County ,690,Quioccasin Middle,               7
2022-2023,43,Henrico County ,80,Short Pump Middle,               1
2022-2023,43,Henrico County ,520,Tuckahoe Middle,               6
2022-2023,43,Henrico County ,580,Varina High,              45
2022-2023,44,Henry County ,10,Bassett High,              66
2022-2023,44,Henry County ,620,Fieldale-Collinsville Middle ,               2
2022-2023,44,Henry County ,20,Magna Vista High,              26
2022-2023,114,Hopewell City ,110,Carter G. Woodson Middle,               4
2022-2023,114,Hopewell City ,120,Hopewell High,              61
2022-2023,46,Isle of Wight County ,422,Georgie D. Tyler Middle,               1
2022-2023,46,Isle of Wight County ,40,Smithfield High,              23
2022-2023,46,Isle of Wight County ,250,Windsor High,               7
2022-2023,48,King George County ,120,King George High,              24
2022-2023,48,King George County ,10,King George Middle,               2
2022-2023,50,King William County ,130,King William High,               5
