School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,75,Prince William County ,680,Stonewall Jackson High,              86
2019-2020,75,Prince William County ,480,Stonewall Middle,               2
2019-2020,75,Prince William County ,60,Woodbridge High,              47
2019-2020,77,Pulaski County ,10,Pulaski County Senior High,              16
2019-2020,122,Radford City ,41,Radford High,               3
2019-2020,78,Rappahannock County ,230,Rappahannock County High,               1
2019-2020,123,Richmond City ,30,Albert Hill Middle,               2
2019-2020,123,Richmond City ,850,Armstrong High ,              57
2019-2020,123,Richmond City ,50,Binford Middle,               1
2019-2020,123,Richmond City ,1631,Elkhardt Thompson Middle,              15
2019-2020,123,Richmond City ,621,Franklin Military Academy,               2
2019-2020,123,Richmond City ,741,George Wythe High,             187
2019-2020,123,Richmond City ,470,Henderson Middle,               4
2019-2020,123,Richmond City ,1510,Huguenot High,              78
2019-2020,123,Richmond City ,730,John Marshall High,              24
