School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,123,Richmond City ,3105,Lucille M. Brown Middle,               2
2019-2020,123,Richmond City ,770,Martin Luther King Jr. Middle ,               4
2019-2020,123,Richmond City ,90,Open High,               3
2019-2020,123,Richmond City ,3110,Richmond Alternative School,              92
2019-2020,123,Richmond City ,452,Richmond Community High,               4
2019-2020,123,Richmond City ,480,Thomas C. Boushall Middle,               8
2019-2020,123,Richmond City ,20,Thomas Jefferson High,               5
2019-2020,79,Richmond County ,210,Rappahannock High,               1
2019-2020,79,Richmond County ,20,Richmond County Elementary,               1
2019-2020,124,Roanoke City ,280,Addison Aerospace Magnet Middle,               2
2019-2020,124,Roanoke City ,210,Breckinridge Middle,               2
2019-2020,124,Roanoke City ,450,James Madison Middle,               4
2019-2020,124,Roanoke City ,230,John P. Fishwick Middle,               5
2019-2020,124,Roanoke City ,390,Patrick Henry High,              41
2019-2020,124,Roanoke City ,400,William Fleming High,              83
2019-2020,124,Roanoke City ,150,Woodrow Wilson Middle,               1
2019-2020,80,Roanoke County ,470,Cave Spring High,               2
2019-2020,80,Roanoke County ,620,Cave Spring Middle,               2
2019-2020,80,Roanoke County ,610,Glenvar High,               1
2019-2020,80,Roanoke County ,754,Hidden Valley High,               9
2019-2020,80,Roanoke County ,520,Northside High,              13
2019-2020,80,Roanoke County ,640,Northside Middle,               2
2019-2020,80,Roanoke County ,630,William Byrd High,               8
2019-2020,80,Roanoke County ,232,William Byrd Middle,               2
2019-2020,81,Rockbridge County ,678,Maury River Middle School,               3
2019-2020,81,Rockbridge County ,22,Rockbridge County High,              11
2019-2020,82,Rockingham County ,870,Broadway High,               6
2019-2020,82,Rockingham County ,391,East Rockingham High,               7
2019-2020,82,Rockingham County ,20,Spotswood High,               8
2019-2020,82,Rockingham County ,850,Turner Ashby High,              15
2019-2020,82,Rockingham County ,890,Wilbur S. Pence Middle,               1
2019-2020,83,Russell County ,540,Honaker High,               2
2019-2020,83,Russell County ,140,Lebanon High,               3
2019-2020,139,Salem City ,100,Andrew Lewis Middle,               1
2019-2020,139,Salem City ,70,Salem High,               9
2019-2020,84,Scott County ,770,Gate City High,               1
2019-2020,84,Scott County ,220,Nickelsville Elementary,               1
2019-2020,84,Scott County ,780,Twin Springs High,               3
2019-2020,85,Shenandoah County ,780,Central High,               3
2019-2020,85,Shenandoah County ,50,Signal Knob Middle,               1
2019-2020,85,Shenandoah County ,790,Stonewall Jackson High,               4
2019-2020,85,Shenandoah County ,770,Strasburg High,               2
2019-2020,86,Smyth County ,460,Chilhowie High,               1
2019-2020,86,Smyth County ,680,Marion Middle,               1
2019-2020,86,Smyth County ,700,Marion Senior High,               4
2019-2020,87,Southampton County ,690,Southampton High,               5
2019-2020,87,Southampton County ,700,Southampton Middle,               1
2019-2020,88,Spotsylvania County ,381,Chancellor High,              32
2019-2020,88,Spotsylvania County ,382,Chancellor Middle,               1
2019-2020,88,Spotsylvania County ,20,Courtland High,              22
2019-2020,88,Spotsylvania County ,509,Freedom Middle,               1
2019-2020,88,Spotsylvania County ,506,Massaponax High,              26
2019-2020,88,Spotsylvania County ,220,Post Oak Middle,               1
2019-2020,88,Spotsylvania County ,510,Riverbend High ,              13
2019-2020,88,Spotsylvania County ,370,Spotsylvania High,              22
2019-2020,88,Spotsylvania County ,330,Spotsylvania Middle,               1
2019-2020,88,Spotsylvania County ,502,Thornburg Middle,               1
2019-2020,89,Stafford County ,40,Andrew G. Wright Middle,               2
2019-2020,89,Stafford County ,421,Brooke Point High,              23
2019-2020,89,Stafford County ,424,Colonial Forge High,              15
2019-2020,89,Stafford County ,432,Donald B. Dixon-Lyle R. Smith Middle,               3
2019-2020,89,Stafford County ,430,Mountain View High ,              16
2019-2020,89,Stafford County ,30,North Stafford High,              30
2019-2020,89,Stafford County ,426,Rodney E. Thompson Middle,               3
2019-2020,89,Stafford County ,440,Shirley C. Heim Middle,               2
2019-2020,89,Stafford County ,112,Stafford Middle,               1
2019-2020,89,Stafford County ,20,Stafford Senior High,              28
2019-2020,89,Stafford County ,162,T. Benton Gayle Middle,               3
2019-2020,126,Staunton City ,110,Shelburne Middle,               1
2019-2020,126,Staunton City ,30,Staunton High,               5
2019-2020,127,Suffolk City ,390,Forest Glen Middle,               3
2019-2020,127,Suffolk City ,370,John F. Kennedy Middle,               1
2019-2020,127,Suffolk City ,380,John Yeates Middle,               1
2019-2020,127,Suffolk City ,395,King's Fork High,              31
2019-2020,127,Suffolk City ,393,King's Fork Middle,               6
2019-2020,127,Suffolk City ,300,Lakeland High,              30
2019-2020,127,Suffolk City ,240,Nansemond River High,              14
2019-2020,90,Surry County ,10,Surry County High,               2
2019-2020,91,Sussex County ,340,Sussex Central High,               9
2019-2020,92,Tazewell County ,940,Graham High,               1
2019-2020,92,Tazewell County ,821,Richlands High,               4
2019-2020,92,Tazewell County ,890,Tazewell High,               3
2019-2020,128,Virginia Beach City ,530,Bayside High,              39
2019-2020,128,Virginia Beach City ,700,Bayside Middle,               1
2019-2020,128,Virginia Beach City ,790,Brandon Middle,               1
2019-2020,128,Virginia Beach City ,610,First Colonial High,              15
2019-2020,128,Virginia Beach City ,440,Floyd Kellam High,               5
2019-2020,128,Virginia Beach City ,30,Frank W. Cox High,              17
2019-2020,128,Virginia Beach City ,430,Great Neck Middle,               1
2019-2020,128,Virginia Beach City ,10,Green Run High,              27
2019-2020,128,Virginia Beach City ,740,Independence Middle,               2
2019-2020,128,Virginia Beach City ,620,Kempsville High,              16
2019-2020,128,Virginia Beach City ,690,Kempsville Middle,               1
2019-2020,128,Virginia Beach City ,1030,Landstown High,              22
2019-2020,128,Virginia Beach City ,931,Landstown Middle,               2
2019-2020,128,Virginia Beach City ,970,Larkspur Middle,               6
2019-2020,128,Virginia Beach City ,730,Lynnhaven Middle,               1
2019-2020,128,Virginia Beach City ,960,Ocean Lakes High,               6
2019-2020,128,Virginia Beach City ,640,Plaza Middle,               2
2019-2020,128,Virginia Beach City ,321,Princess Anne High,              14
2019-2020,128,Virginia Beach City ,850,Salem High,               6
2019-2020,128,Virginia Beach City ,50,Salem Middle,               1
2019-2020,128,Virginia Beach City ,920,Tallwood High,              21
2019-2020,128,Virginia Beach City ,140,Virginia Beach Middle,               4
2019-2020,93,Warren County ,250,Skyline High,               1
