LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,2,5,1,23,10,55,16,2,4,2,21,11,56,13,112,109,24,15,7,6,7,7,3,5
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,-8,6,-8,16,25,85,13,-8,-8,-8,24,18,71,9,145,122,26,13,7,4,44,30,2,4
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,-8,-8,-8,12,7,18,1,-8,-8,-8,10,3,25,-8,38,38,14,6,3,2,1,-8,1,3
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,2,12,-8,2,5,34,10,2,13,-8,4,2,22,9,65,52,15,3,5,3,3,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,-8,1,-8,13,9,20,12,-8,3,-8,13,9,31,7,55,63,8,5,-8,1,5,10,2,3
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,1,15,2,24,5,63,28,1,13,1,18,7,72,25,138,137,34,16,4,9,18,12,-8,2
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,-8,-8,1,7,7,9,12,-8,2,1,7,2,5,6,36,23,11,5,-8,-8,4,2,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,-8,-8,-8,38,16,35,6,-8,-8,-8,41,16,24,7,95,88,28,9,4,5,11,1,8,5
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,1,1,-8,15,12,84,7,-8,5,-8,12,12,65,7,120,101,15,9,1,2,42,26,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,1,2,-8,7,11,10,-8,-8,-8,-8,4,4,11,5,31,24,11,1,1,-8,-8,2,2,-8
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,2,7,-8,16,13,74,22,1,9,-8,22,14,96,14,134,156,54,26,4,3,4,5,-8,4
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,-8,4,-8,21,10,26,2,-8,1,-8,24,13,37,1,63,76,12,7,1,3,5,7,5,2
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,3,8,1,9,8,55,14,1,6,-8,7,-8,42,4,98,60,29,5,3,1,1,3,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,-8,8,-8,8,8,37,3,-8,4,1,11,5,38,5,64,64,15,10,3,2,-8,1,7,3
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,-8,2,-8,22,15,23,3,-8,5,-8,21,11,25,5,65,67,13,11,2,3,4,5,2,5
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,-8,8,-8,12,15,45,4,-8,5,1,20,11,36,1,84,74,19,5,3,4,15,12,4,-8
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,-8,34,1,13,9,91,12,-8,41,-8,19,14,102,13,160,189,34,25,7,12,12,11,4,1
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,-8,-8,-8,22,17,14,15,-8,-8,-8,16,8,17,27,68,68,13,4,1,1,10,7,4,-8
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,-8,-8,1,3,1,21,6,-8,-8,-8,4,2,26,3,32,35,8,2,-8,1,-8,-8,1,3
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,-8,17,2,21,9,74,4,-8,6,-8,10,8,45,5,127,74,38,12,11,1,6,6,5,10
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,-8,18,1,12,6,33,4,-8,8,-8,16,5,23,4,74,56,23,4,1,2,10,16,4,2
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,-8,3,-8,19,13,10,23,-8,7,-8,13,10,13,10,68,53,10,4,4,2,12,14,1,1
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,-8,1,-8,4,4,23,-8,-8,-8,-8,2,4,14,-8,32,20,9,2,1,-8,1,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000064,No,-8,8,-8,14,3,27,15,-8,4,-8,22,10,14,20,67,70,17,9,3,2,14,9,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,65,Kilohana Elementary School,150003000065,No,-8,-8,-8,1,-8,6,-8,-8,-8,-8,-8,-8,7,-8,7,7,-8,1,1,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,66,Kualapuu School - Public Conversion Charter,150003000066,No,-8,1,-8,-8,1,16,-8,-8,-8,-8,-8,-8,17,1,18,18,4,-8,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000067,No,-8,-8,-8,5,9,7,9,-8,-8,-8,12,6,8,5,30,31,3,2,-8,1,-8,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,68,Lahaina Intermediate School,150003000068,No,-8,8,-8,12,9,19,11,-8,9,-8,11,5,28,16,59,69,14,1,1,2,7,9,2,3
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000069,No,1,32,-8,24,8,49,33,2,37,-8,25,14,43,13,147,134,26,18,3,5,27,22,2,2
HI,HAWAII,1500030,Hawaii Department of Education,70,Lanai High & Elementary School,150003000070,No,-8,18,1,5,7,16,4,-8,17,1,8,6,24,2,51,58,12,10,3,1,5,5,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,71,Lihikai Elementary School,150003000071,No,-8,11,-8,7,10,25,1,-8,14,-8,11,9,31,3,54,68,7,5,1,4,18,22,1,2
HI,HAWAII,1500030,Hawaii Department of Education,72,Makawao Elementary School,150003000072,No,-8,-8,1,11,9,9,7,-8,2,1,12,7,13,5,37,40,9,6,7,1,2,3,2,1
HI,HAWAII,1500030,Hawaii Department of Education,73,Maui High School,150003000073,No,-8,94,6,25,19,86,32,1,93,2,19,17,89,31,262,252,41,33,11,14,42,37,5,5
HI,HAWAII,1500030,Hawaii Department of Education,74,Maunaloa Elementary School,150003000074,No,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,1,-8,3,-8,2,4,1,-8,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,75,Molokai High School,150003000075,No,-8,2,-8,-8,1,30,-8,-8,3,-8,1,1,39,-8,33,44,10,7,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,76,Paia Elementary School,150003000076,No,-8,-8,-8,9,5,23,2,-8,-8,1,11,4,16,2,39,34,10,4,3,-8,2,1,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,77,Pukalani Elementary School,150003000077,No,-8,2,-8,8,11,13,4,-8,2,-8,7,7,16,2,38,34,12,6,2,-8,2,4,5,3
HI,HAWAII,1500030,Hawaii Department of Education,79,Waihee Elementary School,150003000079,No,-8,3,-8,6,8,22,2,-8,3,-8,4,5,12,1,41,25,10,3,2,-8,1,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,80,Wailuku Elementary School,150003000080,No,-8,3,-8,10,10,29,-8,-8,4,1,12,14,23,7,52,61,15,8,3,1,10,8,3,2
HI,HAWAII,1500030,Hawaii Department of Education,81,Eleele Elementary School,150003000081,No,-8,9,-8,5,7,15,-8,-8,5,-8,5,1,6,-8,36,17,8,3,4,-8,2,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,82,Hanalei Elementary School,150003000082,No,-8,-8,-8,3,10,1,25,-8,-8,-8,3,8,-8,16,39,27,1,-8,1,2,1,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,83,Kalaheo Elementary School,150003000083,No,-8,-8,-8,3,9,3,4,1,-8,-8,4,2,4,3,19,14,2,-8,2,1,-8,-8,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,84,Kapaa Elementary School,150003000084,No,1,11,-8,14,29,34,14,1,5,-8,11,26,35,8,103,86,26,16,3,3,9,8,4,3
HI,HAWAII,1500030,Hawaii Department of Education,85,Kapaa High School,150003000085,No,4,19,2,16,18,64,38,3,15,1,15,18,66,34,161,152,33,19,13,6,2,1,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,86,Kauai High School,150003000086,No,-8,21,-8,5,9,42,16,-8,29,1,7,9,51,23,93,120,31,7,7,18,9,5,1,6
HI,HAWAII,1500030,Hawaii Department of Education,88,Kekaha Elementary School,150003000088,No,-8,2,1,7,-8,14,3,-8,2,-8,9,7,14,-8,27,32,6,3,-8,-8,2,2,4,2
HI,HAWAII,1500030,Hawaii Department of Education,89,Kilauea Elementary School,150003000089,No,-8,-8,-8,5,1,5,15,-8,-8,-8,7,10,9,9,26,35,3,1,1,3,1,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,90,Koloa Elementary School,150003000090,No,-8,5,-8,5,8,14,3,-8,1,-8,9,5,10,11,35,36,12,8,3,-8,7,4,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,91,Niihau High & Elementary School,150003000091,No,-8,-8,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,5,-8,4,5,-8,-8,-8,-8,3,3,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,92,Waimea Canyon Middle School,150003000092,No,-8,3,-8,6,8,24,4,-8,6,-8,6,3,19,3,45,37,9,3,6,2,2,-8,5,5
HI,HAWAII,1500030,Hawaii Department of Education,93,Waimea High School,150003000093,No,-8,23,-8,4,6,35,6,2,13,1,2,3,35,8,74,64,20,8,10,11,7,5,8,7
HI,HAWAII,1500030,Hawaii Department of Education,94,Elsie H Wilcox Elementary School,150003000094,No,-8,5,-8,12,16,8,1,-8,8,-8,8,6,10,1,42,33,12,3,1,1,4,6,5,2
HI,HAWAII,1500030,Hawaii Department of Education,96,Hawaii School for the Deaf and Blind,150003000096,No,-8,2,-8,-8,-8,9,-8,-8,2,-8,-8,1,1,-8,11,4,11,6,-8,-8,4,1,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,98,Olomana School,150003000098,Yes,-8,1,-8,14,12,28,7,-8,1,-8,8,2,12,-8,62,23,14,3,6,1,1,-8,1,2
HI,HAWAII,1500030,Hawaii Department of Education,99,Mililani Mauka Elementary School,150003000099,No,-8,6,-8,8,4,5,5,-8,9,-8,6,4,4,2,28,25,7,8,-8,1,-8,2,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,100,Castle High School,150003000100,No,-8,19,1,14,16,113,16,1,20,1,16,12,96,12,179,158,60,25,13,11,6,2,4,3
HI,HAWAII,1500030,Hawaii Department of Education,101,Aikahi Elementary School,150003000101,No,-8,-8,-8,2,5,1,5,-8,2,-8,2,3,3,4,13,14,5,2,1,-8,1,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,102,Mililani High School,150003000102,No,1,21,-8,20,31,33,6,1,38,3,14,28,39,13,112,136,32,12,5,7,5,2,2,2
HI,HAWAII,1500030,Hawaii Department of Education,103,Moanalua High School,150003000103,No,-8,42,9,21,9,28,7,2,35,2,11,12,31,14,116,107,33,21,11,10,8,1,2,1
