LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
TX,TEXAS,4800010,HAYS CISD,10807,SCIENCE HALL EL,480001010807,No,2616241.0,42.51,2211615.0,91382.59,0.93,24460.0,3.0,180427.0,3.0,199739.0,2684390.0,6.72,119393.0,4.0,239601.0,3.0,199739.0,3243123.0,118601.46
TX,TEXAS,4800010,HAYS CISD,10808,BLANCO VISTA EL,480001010808,No,2810760.0,47.0,2398380.0,97205.88,0.93,23927.0,4.0,230923.0,2.0,157530.0,2757780.0,5.55,96226.0,4.0,230923.0,2.0,157530.0,3242459.0,109870.89
TX,TEXAS,4800010,HAYS CISD,10809,CAMINO REAL EL,480001010809,No,2761877.0,45.36,2326307.0,109912.41,0.93,29551.0,4.36,260157.0,2.0,145862.0,2731037.0,9.7,183542.0,5.36,316537.0,2.0,145862.0,3376978.0,130037.85
TX,TEXAS,4800010,HAYS CISD,11534,CARPENTER HILL EL,480001011534,No,2401751.0,37.37,1986506.0,70456.2,0.93,24993.0,4.0,227063.0,2.0,163189.0,2188776.0,6.78,131993.0,4.0,227063.0,2.0,163189.0,2711021.0,70456.2
TX,TEXAS,4800010,HAYS CISD,12146,RALPH PFLUGER EL,480001012146,No,2234625.0,37.55,1866742.0,116544.32,0.93,19074.0,3.36,184902.0,2.0,163907.0,2106572.0,7.58,156377.0,3.36,184902.0,2.0,163907.0,2611758.0,154269.07
TX,TEXAS,4800010,HAYS CISD,13113,DR T C MCCORMICK JR MIDDLE,480001013113,No,2348735.0,35.63,1790873.0,210092.45,1.0,17448.0,5.87,306350.0,3.0,234064.0,2181118.0,4.99,92953.0,5.87,328468.0,3.0,234064.0,2836603.0,230734.99
TX,TEXAS,4800011,ALVARADO ISD,128,ALVARADO H S,480001100128,No,3763763.32,68.0,2878518.33,447223.0,10.0,130529.67,10.0,346980.02,5.0,407735.3,2976268.33,10.1,130529.67,16.4,477142.26,5.4,407735.3,3991675.56,447223.2
TX,TEXAS,4800011,ALVARADO ISD,129,ALVARADO J H,480001100129,No,1545116.96,35.0,1086928.25,64220.09,8.0,116714.67,5.86,194123.89,2.0,147350.15,1263358.26,9.0,131714.67,9.72,283649.09,2.0,147350.15,1826072.17,64220.09
TX,TEXAS,4800011,ALVARADO ISD,130,ALVARADO EL-SOUTH,480001100130,No,1637588.79,24.0,1235981.81,54311.2,14.56,194013.08,3.0,81359.53,2.0,126234.37,1332931.81,17.56,227227.28,5.0,132086.32,2.0,135464.62,1827710.03,54311.2
TX,TEXAS,4800011,ALVARADO ISD,3090,LILLIAN EL,480001103090,No,1599191.46,22.0,1141000.0,60981.73,12.0,176017.58,6.82,155939.51,2.0,126234.37,1293850.0,13.0,197094.37,12.64,264379.02,2.12,126234.37,1881557.76,60981.73
TX,TEXAS,4800011,ALVARADO ISD,6201,ALVARADO EL-NORTH,480001106201,No,1548489.14,23.0,1129297.12,68284.69,14.0,225274.56,3.0,68012.43,2.0,125905.03,1228801.07,16.0,259270.46,5.0,105392.43,2.0,125905.03,1719368.99,68284.69
TX,TEXAS,4800011,ALVARADO ISD,7367,ALVARADO INT,480001107367,No,2814699.77,52.0,2192226.7,212675.13,18.0,196627.07,8.0,230652.83,3.0,195193.17,2335326.7,20.0,226627.07,13.86,359084.83,3.0,195193.17,3116231.77,212675.13
TX,TEXAS,4800011,ALVARADO ISD,10855,JUVENILE JUSTICE ALTERNATIVE,480001110855,Yes,0.0,0.0,-9.0,0.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,TEXAS,4800012,CHISUM ISD,1430,CHISUM EL,480001201430,No,1695744.77,28.0,1271631.76,59689.68,11.0,179612.4,3.66,120626.1,2.0,123874.51,1358955.12,11.0,179612.4,3.66,120626.1,2.0,123874.51,1783068.13,59689.68
TX,TEXAS,4800012,CHISUM ISD,1431,CHISUM H S,480001201431,No,1679995.57,28.0,1384545.99,102939.46,0.0,-9.0,3.66,140593.07,2.0,154856.51,1430462.14,0.0,0.0,3.66,140593.07,2.0,154856.51,1725911.72,102939.46
TX,TEXAS,4800012,CHISUM ISD,4908,CHISUM MIDDLE,480001204908,No,969789.15,14.0,775159.6,44566.6,1.0,14736.03,2.16,95939.74,1.0,83953.78,826743.75,1.0,14736.03,2.16,95939.74,1.0,83953.78,1021373.3,44566.6
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,7174,GEORGE GERVIN ACADEMY,480001407174,No,6656372.0,50.1,5471651.0,4859247.0,10.0,371967.0,8.0,58129.0,10.0,1161746.0,5471651.0,10.0,371967.0,8.0,58129.0,10.0,1161746.0,6656372.0,4859247.0
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,10415,RUTH JONES MCCLENDON MIDDLE,480001410415,No,520000.0,8.0,520000.0,350000.0,0.0,-9.0,1.0,30000.0,2.0,120000.0,520000.0,0.0,0.0,1.0,30000.0,2.0,120000.0,520000.0,350000.0
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7239,DALLAS CAN ACADEMY CHARTER,480001607239,No,1532946.72,28.19,870849.38,1348743.04,0.89,19408.41,13.57,347065.34,10.46,295623.59,870849.38,0.89,19408.41,13.57,347065.34,10.46,295623.59,1532946.72,1348743.04
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7847,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,480001607847,No,1970917.21,35.14,1171577.84,1177999.01,1.79,27126.66,15.64,417810.57,12.76,354402.14,1171577.84,1.79,27126.66,15.64,417810.57,12.76,354402.14,1970917.21,1177999.01
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7910,HOUSTON CAN ACADEMY - NORTH,480001607910,No,1366606.33,26.22,785405.33,1009060.58,0.0,-9.0,9.46,275764.74,10.01,305436.26,785405.33,0.0,0.0,9.46,275764.74,10.01,305436.26,1366606.33,1009060.58
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8434,SAN ANTONIO CAN ACADEMY,480001608434,No,1230907.26,18.95,667751.76,1187826.81,0.85,15699.03,10.36,265683.25,11.16,281773.22,667751.76,0.85,15699.03,10.36,265683.25,11.16,281773.22,1230907.26,1187826.81
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8908,FORT WORTH CAN ACADEMY WESTCREEK,480001608908,No,1257647.73,20.83,654452.05,959373.47,0.9,17829.45,9.1,286842.73,7.19,298523.5,654452.05,0.9,17829.45,9.1,286842.73,7.19,298523.5,1257647.73,959373.47
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9028,FORT WORTH CAN ACADEMY LANCASTER AVENUE,480001609028,No,1585111.24,24.87,904812.1,1171060.31,0.9,18386.34,12.15,364735.33,7.12,297177.47,904812.1,0.9,18386.34,12.46,364735.33,7.12,297177.47,1585111.24,1171060.31
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9410,AUSTIN CAN ACADEMY,480001609410,No,1587687.85,26.71,893055.56,1133726.71,0.86,11419.59,14.66,368947.49,10.22,314265.21,893055.56,0.86,11419.59,14.66,368947.49,10.22,314265.21,1587687.85,1133726.71
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9532,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,480001609532,No,1489864.59,24.8,841838.57,869835.62,1.74,37214.58,10.8,316667.66,9.11,294143.78,841838.57,1.74,37214.58,10.8,316667.66,9.11,294143.78,1489864.59,869835.62
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9602,HOUSTON CAN ACADEMY - HOBBY,480001609602,No,1251890.65,17.9,691623.07,973542.33,0.02,233.26,10.42,246899.69,10.99,313134.63,691623.07,0.02,233.26,10.42,246899.69,10.99,313134.63,1251890.65,973542.33
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,10548,DALLAS CAN ACADEMY AT PLEASANT GROVE,480001610548,No,1831240.65,25.6,1027762.59,1533666.56,0.6,12007.43,15.33,430475.27,10.66,360995.36,1027762.59,0.6,12007.43,15.33,430475.27,10.66,360995.36,1831240.65,1533666.56
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,12961,DALLAS CAN ACADEMY - GRANT EAST,480001612961,No,1253097.94,21.49,676030.03,1083857.84,1.0,4314.78,10.88,254017.27,9.0,318735.86,676030.03,1.0,4314.78,10.88,254017.27,9.0,318735.86,1253097.94,1083857.84
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,13458,GARLAND CAN ACADEMY,480001613458,No,935709.69,15.37,437736.51,830912.64,0.84,18063.05,8.72,238062.3,7.11,241847.83,437736.51,0.84,18063.05,8.72,238062.3,7.11,241847.83,935709.69,830912.64
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,13459,HOUSTON CAN ACADEMY - SOUTHWEST,480001613459,No,1095079.0,24.1,553321.39,978913.17,0.0,-9.0,13.76,261577.55,13.8,280180.06,553321.39,0.0,0.0,13.76,261577.55,13.8,280180.06,1095079.0,978913.17
TX,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,7302,SER-NINOS CHARTER EL,480001807302,No,2159575.11,33.0,1592621.27,248090.55,6.0,142298.09,1.0,33582.68,7.5,391073.07,2064776.65,7.0,164128.25,3.0,184635.36,7.5,391231.53,2804771.79,400541.12
TX,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,11526,SER-NINOS CHARTER MIDDLE,480001811526,No,1056278.23,12.38,821611.79,176379.53,2.0,24153.77,0.0,-9.0,3.5,210512.67,906396.08,1.0,26569.55,0.0,0.0,4.0,219589.67,1152555.3,275828.7
