LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,AUT,0,0,2,4,1,0,1,0,0,0,0,3,1,1,0,0,13
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,EMN,0,0,0,4,1,0,0,0,1,0,0,1,1,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,MD,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,MR,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,OHI,0,0,3,9,7,0,0,0,0,0,0,3,1,0,0,1,24
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,SLD,0,0,1,9,6,0,0,0,0,0,0,2,6,0,0,0,24
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,TBI,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,AUT,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,EMN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,MD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,OHI,0,0,0,2,8,0,0,0,0,0,1,0,1,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,SLD,0,0,0,3,6,0,0,0,0,0,0,4,4,0,0,0,17
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,SLI,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,AUT,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,DD,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
