LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC39,0,2,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC79TO40,0,3,8,4,3,1,0,19
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC80,0,0,0,4,2,1,0,7
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,RC39,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,RC80,0,1,6,2,1,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC39,0,2,7,0,5,2,0,16
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC79TO40,1,2,15,5,4,5,0,32
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC80,0,1,18,4,12,7,0,42
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RF,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,RC79TO40,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,RC80,0,1,4,3,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,PPPS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,RC39,0,1,0,3,1,1,0,6
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,RC79TO40,0,3,9,2,2,0,1,17
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,RC80,0,4,4,0,2,1,0,11
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,RC39,0,1,1,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,RC79TO40,0,4,6,8,0,0,0,18
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,RC80,0,3,7,5,1,1,0,17
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,RC39,0,0,10,0,1,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,RC79TO40,0,2,21,4,6,0,0,33
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,RC80,0,1,16,3,0,3,0,23
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,RC39,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,RC79TO40,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,RC80,0,1,8,11,0,2,0,22
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,RC39,0,0,12,9,4,4,0,29
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,RC79TO40,0,4,8,6,4,1,1,24
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,RC80,0,3,21,13,4,5,1,47
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,HH,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,RC39,0,2,3,1,1,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,RC79TO40,0,1,7,2,1,2,0,13
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,RC80,0,6,23,4,9,2,0,44
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,RC39,0,1,6,2,1,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,RC79TO40,0,0,6,0,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,RC80,0,2,34,13,0,1,0,50
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,HH,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,RC39,0,0,1,1,0,3,0,5
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,RC79TO40,0,0,6,1,2,5,0,14
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,RC80,0,2,8,0,3,5,0,18
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,RC39,0,0,7,2,1,2,0,12
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,RC79TO40,0,2,1,3,1,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,RC80,0,3,2,2,1,1,0,9
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,HH,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,RC39,1,0,12,3,4,1,0,21
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,RC79TO40,0,3,18,7,8,3,0,39
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,RC80,0,0,18,5,7,3,3,36
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,RF,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,SS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,RC39,0,0,5,2,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,RC79TO40,0,0,6,3,5,3,0,17
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,RC80,0,3,6,3,4,4,0,20
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,SS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,RC39,0,1,0,3,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,RC79TO40,0,2,2,2,2,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,RC80,0,4,11,15,0,1,0,31
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,RC39,0,0,3,0,1,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,RC79TO40,0,1,4,2,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,RC80,0,4,8,1,1,2,0,16
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,RC79TO40,0,0,0,0,1,1,0,2
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,RC80,0,1,7,2,3,1,0,14
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,HH,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,RC39,0,4,20,5,5,0,0,34
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,RC79TO40,0,3,18,4,4,1,1,31
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,RC80,0,2,29,6,5,1,1,44
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,RC39,0,1,2,5,1,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,RC79TO40,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,RC80,1,13,20,22,2,8,0,66
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,RC39,0,4,10,3,2,3,0,22
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,RC79TO40,0,1,14,2,3,4,0,24
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,RC80,0,3,43,5,2,15,0,68
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,RC39,0,1,13,1,1,2,0,18
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,RC79TO40,0,1,11,7,2,1,0,22
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,RC80,0,2,30,8,1,9,0,50
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,RC39,0,0,1,6,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,RC79TO40,0,8,16,14,1,2,0,41
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,RC80,0,1,6,3,0,2,0,12
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,RC39,0,4,1,1,0,1,0,7
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,RC79TO40,0,2,8,3,1,1,0,15
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,RC80,0,4,14,1,3,2,0,24
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,HH,0,0,2,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,RC39,0,2,22,2,3,8,0,37
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,RC79TO40,0,3,39,5,7,18,0,72
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,RC80,0,2,16,6,4,6,0,34
