LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
HI,HAWAII,1500030,Hawaii Department of Education,79,Waihee Elementary School,150003000079,No,49.0,45.0,4.0,6.0,2.0,49.0,42.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,80,Wailuku Elementary School,150003000080,No,49.0,46.0,3.0,4.0,1.0,49.0,43.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,81,Eleele Elementary School,150003000081,No,34.0,34.0,0.0,0.0,2.0,34.0,33.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,82,Hanalei Elementary School,150003000082,No,20.0,18.0,2.0,4.0,1.0,20.0,16.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,83,Kalaheo Elementary School,150003000083,No,30.5,30.5,0.0,2.0,0.0,31.0,29.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,84,Kapaa Elementary School,150003000084,No,62.0,61.0,1.0,3.0,3.0,62.0,56.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,85,Kapaa High School,150003000085,No,71.0,66.0,5.0,5.0,8.0,71.0,65.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,86,Kauai High School,150003000086,No,73.0,69.0,4.0,8.0,3.0,73.0,63.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,88,Kekaha Elementary School,150003000088,No,26.0,25.0,1.0,2.0,4.0,26.0,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,89,Kilauea Elementary School,150003000089,No,22.0,21.0,1.0,1.0,0.0,22.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
