LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_NONIDEA_A3,SCH_PSENR_NONIDEA_A4,SCH_PSENR_NONIDEA_A5,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_LEPPROGENR_IDEA_M,SCH_LEPPROGENR_IDEA_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,No,Yes,Yes,1,0,0,0,1,0,4,0,0,0,1,0,5,2,12,2,2,0,13,2,36,26,0,1,31,22,66,58,0,1,11,6,33,40,177,154,28,16,10,0,47,23,2,1,0,0,18,9,7,1,0,0,0,1,1,4,28,16,1,0,0,0,8,5,1,1,0,0,0,0,0,1,10,7,5,0,5,4,0,1,7,1,21,13,0,1,3,1,11,2,47,23,5,0,4,0,0,0,1,0,3,0,0,0,1,0,1,0,10,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,No,Yes,Yes,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,4,1,19,15,0,0,2,0,108,82,1,0,1,2,5,11,136,110,6,0,3,0,25,10,0,0,0,0,0,0,3,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,21,4,0,0,1,1,0,1,25,10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,No,Yes,Yes,3,0,0,0,1,0,1,0,0,0,0,0,2,1,7,1,0,0,7,1,46,31,2,0,6,6,64,56,0,0,9,5,25,30,152,128,11,12,4,0,30,10,3,2,0,0,1,2,6,5,0,0,0,0,1,3,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,3,1,0,3,0,6,3,0,0,3,2,6,2,30,10,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,36,19,2,0,4,4,27,25,0,3,113,83,72,55,254,189,16,5,3,0,40,14,3,0,0,0,1,1,0,1,0,0,8,1,4,2,16,5,3,0,0,0,1,0,0,0,0,0,3,0,2,0,9,0,0,0,5,2,0,0,1,0,5,2,0,0,21,5,8,5,40,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,No,Yes,Yes,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,10,10,0,0,3,2,19,14,0,0,2,5,9,10,43,41,2,0,1,0,9,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,1,0,2,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,No,Yes,Yes,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,1,0,6,0,32,30,0,1,28,33,160,114,1,1,8,4,25,24,254,207,38,40,3,4,50,17,2,0,0,0,16,25,18,14,0,0,0,0,2,1,38,40,1,0,0,0,6,12,8,11,0,0,0,0,0,0,15,23,1,2,10,1,0,0,2,3,33,11,0,0,2,1,3,1,50,17,1,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,0
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,45,30,0,0,40,39,36,39,1,1,25,36,71,88,218,233,20,17,8,3,15,9,2,1,0,0,11,8,2,4,0,1,2,2,3,1,20,17,1,1,0,0,1,2,0,1,0,1,0,0,0,0,2,5,0,0,3,2,0,0,3,1,2,1,0,0,2,3,5,2,15,9,0,0,1,0,0,0,3,0,1,1,0,0,1,0,2,2,8,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,17,23,0,0,20,12,23,24,0,0,12,17,31,18,103,94,14,8,3,2,8,7,0,0,0,0,10,5,3,3,0,0,1,0,0,0,14,8,0,0,0,0,5,1,1,3,0,0,0,0,0,0,6,4,0,0,1,3,0,0,0,0,4,3,0,0,1,0,2,1,8,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,3,2,0,0
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,41,30,3,4,120,109,346,268,4,1,69,57,47,37,630,506,125,98,18,16,162,45,3,1,0,0,35,22,78,69,1,0,2,2,6,4,125,98,1,0,0,0,10,1,15,20,0,0,0,0,1,0,27,21,5,6,11,4,0,0,19,4,104,31,1,0,18,5,9,1,162,45,5,6,3,2,0,0,2,2,7,8,0,0,3,2,3,2,18,16,0,0
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,23,26,1,0,51,48,139,133,0,1,18,20,25,21,257,249,34,32,10,7,51,23,3,3,0,0,9,8,18,19,0,0,2,0,2,2,34,32,0,0,0,0,1,0,8,8,0,0,0,0,0,0,9,8,1,0,3,4,0,0,7,2,34,14,0,1,5,1,2,1,51,23,1,0,2,1,0,0,2,1,5,5,0,0,0,0,1,0,10,7,0,0
